CoC,Count,"Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
MD-504,170,38,14,118,114,24,6,84,34,14,7,13,0,0,0,148,38,13,97,22,0,1,21,98,0,7,91,73,0,5,68,3,0,1,2,0,0,0,76,0,6,70,22,0,1,21,72,38,7,27,41,24,1,16,31,14,6,11,72,38,7,27,0,0,0,0,25,14,11,25,0,42,33,0,33,9,42,33,0,33,9,0,0,0,0,8,2,6,2,2,0
MD-505,569,111,75,383,366,92,47,227,26,19,0,7,0,0,0,392,111,47,234,177,0,28,149,387,0,59,328,210,0,31,179,0,0,0,0,0,0,0,210,0,31,179,177,0,28,149,182,111,16,55,156,92,16,48,26,19,0,7,182,111,16,55,0,0,0,0,75,68,7,75,0,119,63,0,63,56,105,49,0,49,56,14,14,14,0,25,6,13,2,12,4
MD-506,124,23,9,92,77,12,8,57,19,11,1,7,22,0,22,118,23,9,86,6,0,0,6,84,0,7,77,56,0,7,49,0,0,0,0,22,0,22,78,0,7,71,6,0,0,6,40,23,2,15,21,12,1,8,19,11,1,7,40,23,2,15,0,0,0,0,12,6,6,12,0,22,11,10,21,1,22,11,10,21,1,0,0,0,0,6,1,6,1,0,0
MD-507,195,36,6,153,69,11,1,57,90,25,0,65,0,0,0,159,36,1,122,36,0,5,31,142,0,5,137,54,0,0,54,52,0,0,52,0,0,0,106,0,0,106,36,0,5,31,53,36,1,16,15,11,1,3,38,25,0,13,53,36,1,16,0,0,0,0,17,4,13,17,0,49,27,0,27,22,42,20,0,20,22,7,7,7,0,69,4,65,4,4,0
MD-508,1141,356,104,681,401,100,43,258,150,50,11,89,0,0,0,551,150,54,347,590,206,50,334,572,9,67,496,234,0,29,205,72,0,8,64,0,0,0,306,0,37,269,266,9,30,227,569,347,37,185,167,100,14,53,78,50,3,25,245,150,17,78,324,197,20,107,171,54,21,75,96,456,206,0,206,250,353,167,0,167,186,103,39,39,64,68,14,33,7,35,7
MD-509,246,64,12,170,86,9,6,71,111,55,6,50,0,0,0,197,64,12,121,49,0,0,49,141,0,7,134,66,0,4,62,26,0,3,23,0,0,0,92,0,7,85,49,0,0,49,105,64,5,36,20,9,2,9,85,55,3,27,105,64,5,36,0,0,0,0,36,10,26,36,0,90,57,0,57,33,90,57,0,57,33,0,0,0,0,10,1,6,1,4,0
MD-510,13,4,0,9,3,0,0,3,5,1,0,4,0,0,0,8,1,0,7,5,3,0,2,7,0,0,7,3,0,0,3,3,0,0,3,0,0,0,6,0,0,6,1,0,0,1,6,4,0,2,0,0,0,0,2,1,0,1,2,1,0,1,4,3,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MD-511,111,19,15,77,68,7,10,51,25,11,4,10,0,0,0,93,18,14,61,18,1,1,16,80,0,11,69,57,0,10,47,8,0,1,7,0,0,0,65,0,11,54,15,0,0,15,31,19,4,8,11,7,0,4,17,11,3,3,28,18,3,7,3,1,1,1,11,4,6,10,1,15,7,0,7,8,12,7,0,7,5,3,0,0,3,9,0,8,0,1,0
MD-512,107,26,8,73,89,26,7,56,14,0,0,14,0,0,0,103,26,7,70,4,0,1,3,64,0,5,59,46,0,4,42,14,0,0,14,0,0,0,60,0,4,56,4,0,1,3,43,26,3,14,43,26,3,14,0,0,0,0,43,26,3,14,0,0,0,0,14,14,0,14,0,15,12,0,12,3,8,5,0,5,3,7,7,7,0,19,0,19,0,0,0
MD-513,336,52,25,259,247,30,17,200,48,18,5,25,0,0,0,295,48,22,225,41,4,3,34,251,0,19,232,198,0,12,186,22,0,4,18,0,0,0,220,0,16,204,31,0,3,28,85,52,6,27,49,30,5,14,26,18,1,7,75,48,6,21,10,4,0,6,29,18,8,26,3,30,23,0,23,7,30,23,0,23,7,0,0,0,0,36,2,32,2,4,0
MD-600,659,274,63,322,255,106,22,127,225,111,19,95,0,0,0,480,217,41,222,179,57,22,100,221,4,24,193,85,3,6,76,53,0,10,43,0,0,0,138,3,16,119,83,1,8,74,438,270,39,129,170,103,16,51,172,111,9,52,342,214,25,103,96,56,14,26,140,55,56,111,29,56,19,0,19,37,47,13,0,13,34,9,6,6,3,26,0,19,0,7,0
MD-601,891,185,64,642,515,107,43,365,245,78,10,157,36,1,35,796,185,54,557,95,0,10,85,603,0,48,555,352,0,34,318,120,0,3,117,36,1,35,508,0,38,470,95,0,10,85,288,185,16,87,163,107,9,47,125,78,7,40,288,185,16,87,0,0,0,0,91,48,43,91,0,181,98,31,129,52,176,93,31,124,52,5,5,5,0,35,2,28,2,7,0
ME-500,2726,793,315,"1,618","1,107",229,142,736,"1,515",558,148,809,11,0,11,"2,633",787,290,"1,556",93,6,25,62,"1,348",28,204,"1,116",758,20,112,626,513,8,74,431,11,0,11,"1,282",28,186,"1,068",66,0,18,48,"1,378",765,111,502,349,209,30,110,"1,002",550,74,378,"1,351",759,104,488,27,6,7,14,388,108,268,376,12,244,213,5,218,26,218,195,5,200,18,26,18,18,8,152,9,138,8,14,1
MI-500,2253,764,351,"1,138",769,242,97,430,967,445,138,384,0,0,0,"1,736",687,235,814,517,77,116,324,"1,078",72,259,747,429,23,63,343,261,5,92,164,0,0,0,690,28,155,507,388,44,104,240,"1,175",692,92,391,340,219,34,87,706,440,46,220,"1,046",659,80,307,129,33,12,84,388,106,239,345,43,110,57,0,57,53,88,50,0,50,38,22,7,7,15,88,13,66,9,22,4
MI-501,2755,351,243,"2,161","1,332",182,139,"1,011","1,120",166,93,861,21,0,21,"2,473",348,232,"1,893",282,3,11,268,"2,264",38,190,"2,036","1,079",14,116,949,886,24,63,799,21,0,21,"1,986",38,179,"1,769",278,0,11,267,491,313,53,125,253,168,23,62,234,142,30,62,487,310,53,124,4,3,0,1,176,85,90,175,1,343,230,5,235,108,316,203,5,208,108,27,27,27,0,525,26,514,26,11,0
MI-502,456,177,34,245,152,77,14,61,269,100,20,149,13,0,13,434,177,34,223,22,0,0,22,191,7,14,170,45,6,8,31,111,1,6,104,13,0,13,169,7,14,148,22,0,0,22,265,170,20,75,107,71,6,30,158,99,14,45,265,170,20,75,0,0,0,0,74,30,44,74,0,23,6,11,17,6,23,6,11,17,6,0,0,0,0,38,3,34,3,4,0
MI-503,343,27,39,277,246,23,25,198,55,4,8,43,0,0,0,301,27,33,241,42,0,6,36,282,3,23,256,198,2,12,184,42,1,5,36,0,0,0,240,3,17,220,42,0,6,36,61,24,16,21,48,21,13,14,13,3,3,7,61,24,16,21,0,0,0,0,28,22,6,28,0,58,53,0,53,5,54,49,0,49,5,4,4,4,0,9,0,9,0,0,0
MI-504,457,100,46,311,241,20,19,202,141,80,27,34,0,0,0,382,100,46,236,75,0,0,75,287,3,31,253,198,3,19,176,14,0,12,2,0,0,0,212,3,31,178,75,0,0,75,170,97,15,58,43,17,0,26,127,80,15,32,170,97,15,58,0,0,0,0,66,21,45,66,0,52,52,0,52,0,52,52,0,52,0,0,0,0,0,18,2,14,2,4,0
MI-505,635,119,62,454,164,43,8,113,124,27,16,81,0,0,0,288,70,24,194,347,49,38,260,472,14,44,414,106,5,5,96,84,1,13,70,0,0,0,190,6,18,166,282,8,26,248,163,105,18,40,58,38,3,17,40,26,3,11,98,64,6,28,65,41,12,12,54,20,12,32,22,105,11,0,11,94,102,11,0,11,91,3,0,0,3,45,1,22,1,23,0
MI-506,793,258,83,452,345,64,27,254,415,194,54,167,0,0,0,760,258,81,421,33,0,2,31,424,17,38,369,272,15,20,237,119,2,16,101,0,0,0,391,17,36,338,33,0,2,31,369,241,45,83,73,49,7,17,296,192,38,66,369,241,45,83,0,0,0,0,113,18,95,113,0,73,55,0,55,18,73,55,0,55,18,0,0,0,0,59,2,55,2,4,0
MI-507,681,248,68,365,465,131,36,298,206,114,31,61,0,0,0,671,245,67,359,10,3,1,6,370,38,44,288,321,30,31,260,39,5,12,22,0,0,0,360,35,43,282,10,3,1,6,311,210,24,77,144,101,5,38,167,109,19,39,311,210,24,77,0,0,0,0,96,44,52,96,0,54,52,0,52,2,48,46,0,46,2,6,6,6,0,26,4,26,4,0,0
MI-508,429,89,39,301,361,81,32,248,53,8,7,38,0,0,0,414,89,39,286,15,0,0,15,294,3,28,263,234,0,21,213,45,3,7,35,0,0,0,279,3,28,248,15,0,0,15,135,86,11,38,127,81,11,35,8,5,0,3,135,86,11,38,0,0,0,0,43,40,3,43,0,62,56,0,56,6,51,45,0,45,6,11,11,11,0,54,3,53,3,1,0
MI-509,545,79,57,409,254,34,29,191,125,40,14,71,0,0,0,379,74,43,262,166,5,14,147,421,7,45,369,208,6,25,177,64,1,8,55,0,0,0,272,7,33,232,149,0,12,137,124,72,12,40,46,28,4,14,61,39,6,16,107,67,10,30,17,5,2,10,37,14,18,32,5,139,82,0,82,57,139,82,0,82,57,0,0,0,0,57,3,47,3,10,0
MI-510,325,94,32,199,164,49,19,96,143,43,11,89,6,1,5,313,92,31,190,12,2,1,9,190,3,17,170,92,2,10,80,83,1,5,77,6,1,5,181,3,16,162,9,0,1,8,135,91,15,29,72,47,9,16,60,42,6,12,132,89,15,28,3,2,0,1,46,26,19,45,1,15,9,3,12,3,10,7,3,10,0,5,2,2,3,24,3,24,3,0,0
MI-511,138,65,12,61,76,26,8,42,42,28,3,11,0,0,0,118,54,11,53,20,11,1,8,43,1,8,34,40,0,7,33,2,1,1,0,0,0,0,42,1,8,33,1,0,0,1,95,64,4,27,36,26,1,9,40,27,2,11,76,53,3,20,19,11,1,7,26,9,13,22,4,6,5,0,5,1,6,5,0,5,1,0,0,0,0,8,1,8,1,0,0
MI-512,396,103,67,226,228,51,42,135,113,52,25,36,0,0,0,341,103,67,171,55,0,0,55,201,27,28,146,96,8,19,69,50,19,9,22,0,0,0,146,27,28,91,55,0,0,55,195,76,39,80,132,43,23,66,63,33,16,14,195,76,39,80,0,0,0,0,43,22,21,43,0,91,68,0,68,23,86,63,0,63,23,5,5,5,0,18,2,16,2,2,0
MI-513,80,21,11,48,53,13,5,35,22,8,6,8,0,0,0,75,21,11,43,5,0,0,5,45,0,11,34,35,0,5,30,7,0,6,1,0,0,0,42,0,11,31,3,0,0,3,35,21,0,14,18,13,0,5,15,8,0,7,33,21,0,12,2,0,0,2,10,5,4,9,1,9,9,0,9,0,9,9,0,9,0,0,0,0,0,6,1,6,1,0,0
MI-514,284,57,20,207,123,38,10,75,107,19,5,83,0,0,0,230,57,15,158,54,0,5,49,209,10,16,183,65,2,7,56,90,8,4,78,0,0,0,155,10,11,134,54,0,5,49,75,47,4,24,58,36,3,19,17,11,1,5,75,47,4,24,0,0,0,0,23,17,6,23,0,33,16,0,16,17,33,16,0,16,17,0,0,0,0,60,4,40,2,20,2
MI-515,185,26,26,133,90,13,21,56,92,13,5,74,0,0,0,182,26,26,130,3,0,0,3,147,5,20,122,73,5,17,51,71,0,3,68,0,0,0,144,5,20,119,3,0,0,3,38,21,6,11,17,8,4,5,21,13,2,6,38,21,6,11,0,0,0,0,15,7,8,15,0,20,19,0,19,1,8,7,0,7,1,12,12,12,0,34,0,33,0,1,0
MI-516,584,216,109,259,96,23,11,62,80,4,29,47,0,0,0,176,27,40,109,408,189,69,150,264,20,71,173,65,2,8,55,73,0,28,45,0,0,0,138,2,36,100,126,18,35,73,320,196,38,86,31,21,3,7,7,4,1,2,38,25,4,9,282,171,34,77,123,10,2,12,111,63,3,0,3,60,31,3,0,3,28,32,0,0,32,23,3,8,2,15,1
MI-517,240,82,23,135,91,21,8,62,116,61,13,42,0,0,0,207,82,21,104,33,0,2,31,108,0,10,98,58,0,7,51,17,0,1,16,0,0,0,75,0,8,67,33,0,2,31,132,82,13,37,33,21,1,11,99,61,12,26,132,82,13,37,0,0,0,0,44,12,32,44,0,15,10,0,10,5,13,8,0,8,5,2,2,2,0,15,2,4,1,11,1
MI-518,135,32,25,78,44,11,9,24,61,21,6,34,0,0,0,105,32,15,58,30,0,10,20,89,3,22,64,29,3,7,19,30,0,5,25,0,0,0,59,3,12,44,30,0,10,20,46,29,3,14,15,8,2,5,31,21,1,9,46,29,3,14,0,0,0,0,13,4,9,13,0,15,8,0,8,7,11,4,0,4,7,4,4,4,0,2,0,2,0,0,0
MI-519,387,165,39,183,177,57,22,98,202,108,17,77,0,0,0,379,165,39,175,8,0,0,8,146,2,26,118,94,0,20,74,44,2,6,36,0,0,0,138,2,26,110,8,0,0,8,241,163,13,65,83,57,2,24,158,106,11,41,241,163,13,65,0,0,0,0,73,28,45,73,0,7,5,0,5,2,7,5,0,5,2,0,0,0,0,10,0,10,0,0,0
MI-523,126,72,10,44,42,21,1,20,69,45,7,17,0,0,0,111,66,8,37,15,6,2,7,10,1,1,8,5,0,0,5,2,1,1,0,0,0,0,7,1,1,5,3,0,0,3,116,71,9,36,37,21,1,15,67,44,6,17,104,65,7,32,12,6,2,4,30,10,17,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
MN-500,3731,"1,361",329,"2,041","2,510",999,174,"1,337","1,011",355,149,507,0,0,0,"3,521","1,354",323,"1,844",210,7,6,197,"1,643",23,199,"1,421","1,045",9,110,926,394,12,83,299,0,0,0,"1,439",21,193,"1,225",204,2,6,196,"2,088","1,338",130,620,"1,465",990,64,411,617,343,66,208,"2,082","1,333",130,619,6,5,0,1,594,381,212,593,1,576,425,0,425,151,426,275,0,275,151,150,150,150,0,119,3,106,3,13,0
MN-501,1500,514,206,780,712,180,85,447,720,330,118,272,0,0,0,"1,432",510,203,719,68,4,3,61,725,19,123,583,452,10,62,380,211,9,58,144,0,0,0,663,19,120,524,62,0,3,59,775,495,83,197,260,170,23,67,509,321,60,128,769,491,83,195,6,4,0,2,256,76,178,254,2,247,203,0,203,44,198,154,0,154,44,49,49,49,0,67,7,62,7,5,0
MN-502,482,229,52,201,222,86,25,111,236,140,23,73,0,0,0,458,226,48,184,24,3,4,17,115,0,18,97,84,0,12,72,14,0,2,12,0,0,0,98,0,14,84,17,0,4,13,367,229,34,104,138,86,13,39,222,140,21,61,360,226,34,100,7,3,0,4,112,45,65,110,2,66,56,0,56,10,32,22,0,22,10,34,34,34,0,3,1,3,1,0,0
MN-503,735,301,97,337,254,94,32,128,383,190,47,146,0,0,0,637,284,79,274,98,17,18,63,262,0,48,214,114,0,23,91,89,0,12,77,0,0,0,203,0,35,168,59,0,13,46,473,301,49,123,140,94,9,37,294,190,35,69,434,284,44,106,39,17,5,17,141,39,91,130,11,81,64,0,64,17,42,29,0,29,13,39,35,35,4,18,3,10,2,8,1
MN-504,200,71,43,86,9,3,3,3,57,29,5,23,0,0,0,66,32,8,26,134,39,35,60,90,8,32,50,4,0,1,3,8,0,3,5,0,0,0,12,0,4,8,78,8,28,42,110,63,11,36,5,3,2,0,49,29,2,18,54,32,4,18,56,31,7,18,27,1,12,13,14,18,0,0,0,18,7,0,0,0,7,11,0,0,11,13,1,5,0,8,1
MN-505,607,159,96,352,235,74,17,144,265,80,46,139,0,0,0,500,154,63,283,107,5,33,69,340,0,78,262,120,0,13,107,124,0,33,91,0,0,0,244,0,46,198,96,0,32,64,267,159,18,90,115,74,4,37,141,80,13,48,256,154,17,85,11,5,1,5,89,36,50,86,3,52,18,0,18,34,40,14,0,14,26,12,4,4,8,53,3,45,3,8,0
MN-506,299,129,44,126,159,62,10,87,121,60,31,30,0,0,0,280,122,41,117,19,7,3,9,89,7,21,61,63,4,7,52,20,3,12,5,0,0,0,83,7,19,57,6,0,2,4,210,122,23,65,96,58,3,35,101,57,19,25,197,115,22,60,13,7,1,5,69,29,37,66,3,50,45,0,45,5,26,21,0,21,5,24,24,24,0,3,0,1,0,2,0
MN-508,214,66,13,135,145,34,4,107,58,32,5,21,0,0,0,203,66,9,128,11,0,4,7,112,0,9,103,93,0,3,90,8,0,2,6,0,0,0,101,0,5,96,11,0,4,7,102,66,4,32,52,34,1,17,50,32,3,15,102,66,4,32,0,0,0,0,30,14,16,30,0,26,23,0,23,3,16,13,0,13,3,10,10,10,0,15,1,14,1,1,0
MN-509,429,117,75,237,116,22,12,82,189,90,43,56,0,0,0,305,112,55,138,124,5,20,99,240,2,48,190,83,0,11,72,44,2,19,23,0,0,0,127,2,30,95,113,0,18,95,189,115,27,47,33,22,1,10,145,88,24,33,178,110,25,43,11,5,2,4,62,9,50,59,3,114,50,0,50,64,96,32,0,32,64,18,18,18,0,24,0,15,0,9,0
MN-511,180,87,28,65,52,24,6,22,128,63,22,43,0,0,0,180,87,28,65,0,0,0,0,36,0,12,24,14,0,4,10,22,0,8,14,0,0,0,36,0,12,24,0,0,0,0,144,87,16,41,38,24,2,12,106,63,14,29,144,87,16,41,0,0,0,0,42,12,30,42,0,5,5,0,5,0,2,2,0,2,0,3,3,3,0,2,0,2,0,0,0
MO-500,402,150,70,182,164,81,19,64,183,67,43,73,0,0,0,347,148,62,137,55,2,8,45,183,34,46,103,48,8,10,30,125,26,34,65,0,0,0,173,34,44,95,10,0,2,8,219,116,24,79,116,73,9,34,58,41,9,8,174,114,18,42,45,2,6,37,67,41,18,59,8,15,10,0,10,5,10,5,0,5,5,5,5,5,0,47,13,43,12,4,1
MO-501,1354,426,73,855,641,172,26,443,598,249,43,306,19,0,19,"1,258",421,69,768,96,5,4,87,780,9,30,741,423,0,13,410,251,9,14,228,19,0,19,693,9,27,657,87,0,3,84,574,417,43,114,218,172,13,33,347,240,29,78,565,412,42,111,9,5,1,3,151,42,105,147,4,202,170,4,174,28,106,76,4,80,26,96,94,94,2,160,14,140,13,20,1
MO-503,896,315,107,474,463,209,42,212,151,41,28,82,0,0,0,614,250,70,294,282,65,37,180,299,3,55,241,75,2,11,62,90,1,21,68,0,0,0,165,3,32,130,134,0,23,111,597,312,52,233,388,207,31,150,61,40,7,14,449,247,38,164,148,65,14,69,182,122,17,139,43,79,48,0,48,31,37,11,0,11,26,42,37,37,5,8,2,6,2,2,0
MO-600,656,117,42,497,249,41,2,206,323,76,36,211,0,0,0,572,117,38,417,84,0,4,80,454,6,27,421,179,4,0,175,191,2,23,166,0,0,0,370,6,23,341,84,0,4,80,202,111,15,76,70,37,2,31,132,74,13,45,202,111,15,76,0,0,0,0,72,33,39,72,0,101,17,0,17,84,101,17,0,17,84,0,0,0,0,55,2,40,2,15,0
MO-602,315,99,30,186,120,25,11,84,161,72,17,72,0,0,0,281,97,28,156,34,2,2,30,173,7,12,154,94,7,8,79,52,0,3,49,0,0,0,146,7,11,128,27,0,1,26,142,92,18,32,26,18,3,5,109,72,14,23,135,90,17,28,7,2,1,4,42,6,33,39,3,35,19,0,19,16,28,12,0,12,16,7,7,7,0,43,1,40,1,3,0
MO-603,200,55,11,134,113,25,6,82,63,30,5,28,18,0,18,194,55,11,128,6,0,0,6,115,0,8,107,72,0,4,68,19,0,4,15,18,0,18,109,0,8,101,6,0,0,6,85,55,3,27,41,25,2,14,44,30,1,13,85,55,3,27,0,0,0,0,29,15,14,29,0,54,33,18,51,3,49,28,18,46,3,5,5,5,0,17,0,17,0,0,0
MO-604a,2193,368,135,"1,690",966,81,48,837,941,273,55,613,11,4,7,"1,918",354,107,"1,457",275,14,28,233,"1,614",12,90,"1,512",840,8,40,792,512,1,22,489,11,4,7,"1,363",9,66,"1,288",251,3,24,224,579,356,45,178,126,73,8,45,429,272,33,124,555,345,41,169,24,11,4,9,170,38,125,163,7,374,260,3,263,111,338,226,3,229,109,36,34,34,2,251,23,206,17,45,6
MO-606,1528,456,146,926,853,282,73,498,480,130,48,302,8,0,8,"1,341",412,121,808,187,44,25,118,832,24,90,718,448,20,46,382,276,2,34,240,8,0,8,732,22,80,630,100,2,10,88,696,432,56,208,405,262,27,116,204,128,14,62,609,390,41,178,87,42,15,30,224,138,61,199,25,190,153,6,159,31,119,90,6,96,23,71,63,63,8,122,9,112,8,10,1
MS-500,846,124,103,619,232,49,28,155,279,75,38,166,0,0,0,511,124,66,321,335,0,37,298,689,20,82,587,177,11,21,145,177,9,24,144,0,0,0,354,20,45,289,335,0,37,298,157,104,21,32,55,38,7,10,102,66,14,22,157,104,21,32,0,0,0,0,53,17,36,53,0,176,50,0,50,126,171,45,0,45,126,5,5,5,0,144,14,123,14,21,0
MS-501,954,183,59,712,343,57,19,267,357,103,30,224,0,0,0,700,160,49,491,254,23,10,221,684,20,41,623,275,20,17,238,195,0,16,179,0,0,0,470,20,33,417,214,0,8,206,270,163,18,89,68,37,2,29,162,103,14,45,230,140,16,74,40,23,2,15,90,24,52,76,14,45,19,0,19,26,43,19,0,19,24,2,0,0,2,101,4,87,2,14,2
MS-503,426,48,22,356,157,31,8,118,37,17,2,18,0,0,0,194,48,10,136,232,0,12,220,341,0,16,325,107,0,4,103,2,0,0,2,0,0,0,109,0,4,105,232,0,12,220,85,48,6,31,50,31,4,15,35,17,2,16,85,48,6,31,0,0,0,0,36,19,17,36,0,61,10,0,10,51,61,10,0,10,51,0,0,0,0,34,4,11,2,23,2
MT-500,1745,354,232,"1,159",471,83,42,346,440,169,40,231,0,0,0,911,252,82,577,834,102,150,582,"1,167",19,184,964,319,1,30,288,174,8,16,150,0,0,0,493,9,46,438,674,10,138,526,578,335,48,195,152,82,12,58,266,161,24,81,418,243,36,139,160,92,12,56,166,42,80,122,44,270,77,0,77,193,256,71,0,71,185,14,6,6,8,256,15,94,8,162,7
NC-500,515,64,27,424,414,58,24,332,82,6,2,74,0,0,0,496,64,26,406,19,0,1,18,414,0,23,391,325,0,21,304,70,0,1,69,0,0,0,395,0,22,373,19,0,1,18,101,64,4,33,89,58,3,28,12,6,1,5,101,64,4,33,0,0,0,0,34,30,4,34,0,99,86,0,86,13,96,83,0,83,13,3,3,3,0,43,0,43,0,0,0
NC-501,530,36,21,473,237,27,12,198,228,9,4,215,0,0,0,465,36,16,413,65,0,5,60,478,5,20,453,200,3,12,185,213,2,3,208,0,0,0,413,5,15,393,65,0,5,60,52,31,1,20,37,24,0,13,15,7,1,7,52,31,1,20,0,0,0,0,20,13,7,20,0,47,7,0,7,40,47,7,0,7,40,0,0,0,0,224,16,217,15,7,1
NC-502,811,108,39,664,337,38,18,281,421,70,21,330,0,0,0,758,108,39,611,53,0,0,53,635,0,27,608,272,0,13,259,310,0,14,296,0,0,0,582,0,27,555,53,0,0,53,176,108,12,56,65,38,5,22,111,70,7,34,176,108,12,56,0,0,0,0,55,23,32,55,0,111,82,0,82,29,102,73,0,73,29,9,9,9,0,136,6,130,6,6,0
NC-503,3195,749,271,"2,175","1,813",426,154,"1,233",695,233,47,415,0,0,0,"2,508",659,201,"1,648",687,90,70,527,"2,027",40,180,"1,807","1,118",6,96,"1,016",336,2,23,311,0,0,0,"1,454",8,119,"1,327",573,32,61,480,"1,168",709,91,368,695,420,58,217,359,231,24,104,"1,054",651,82,321,114,58,9,47,383,236,105,341,42,415,193,0,193,222,353,165,0,165,188,62,28,28,34,183,14,130,8,53,6
NC-504,897,174,77,646,452,69,40,343,346,105,33,208,0,0,0,798,174,73,551,99,0,4,95,617,4,55,558,342,4,30,308,176,0,21,155,0,0,0,518,4,51,463,99,0,4,95,280,170,22,88,110,65,10,35,170,105,12,53,280,170,22,88,0,0,0,0,85,34,51,85,0,109,43,0,43,66,107,41,0,41,66,2,2,2,0,98,4,91,4,7,0
NC-505,2014,535,151,"1,328","1,045",249,81,715,805,280,62,463,0,0,0,"1,850",529,143,"1,178",164,6,8,150,"1,194",9,91,"1,094",678,7,57,614,361,2,27,332,0,0,0,"1,039",9,84,946,155,0,7,148,820,526,60,234,367,242,24,101,444,278,35,131,811,520,59,232,9,6,1,2,280,125,152,277,3,210,129,0,129,81,203,122,0,122,81,7,7,7,0,157,22,142,21,15,1
