CoC,Count,"Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
MO-606,1504,779,347,"1,126",378,794,391,169,560,234,710,388,178,566,144,262,134,62,196,66,245,136,109
MS-500,718,132,308,440,278,626,104,244,348,278,92,28,64,92,0,27,9,18,27,0,372,94,278
MS-501,385,131,213,344,41,233,84,108,192,41,152,47,105,152,0,42,11,31,42,0,99,70,29
MS-503,274,40,27,67,207,256,29,24,53,203,18,11,3,14,4,7,4,1,5,2,122,5,117
MT-500,1150,502,353,855,295,633,270,128,398,235,517,232,225,457,60,166,75,75,150,16,83,35,48
NC-500,503,354,125,479,24,366,298,44,342,24,137,56,81,137,0,47,17,30,47,0,122,98,24
NC-501,635,167,281,448,187,542,128,227,355,187,93,39,54,93,0,34,14,20,34,0,105,22,83
NC-502,539,328,174,502,37,436,262,137,399,37,103,66,37,103,0,31,19,12,31,0,95,58,37
NC-503,2610,"1,100",452,"1,552","1,058","1,436",624,214,838,598,"1,174",476,238,714,460,346,153,68,221,125,277,171,106
NC-504,1182,502,478,980,202,878,355,337,692,186,304,147,141,288,16,101,50,46,96,5,212,142,70
NC-505,1976,849,799,"1,648",328,"1,564",648,591,"1,239",325,412,201,208,409,3,142,69,72,141,1,222,137,85
NC-506,628,305,114,419,209,459,271,69,340,119,169,34,45,79,90,70,11,17,28,42,206,87,119
NC-507,1043,591,382,973,70,705,436,199,635,70,338,155,183,338,0,110,47,63,110,0,79,68,11
NC-509,652,155,59,214,438,568,107,44,151,417,84,48,15,63,21,32,18,6,24,8,155,4,151
NC-511,757,174,139,313,444,445,149,19,168,277,312,25,120,145,167,103,10,34,44,59,49,19,30
NC-513,208,119,64,183,25,148,109,18,127,21,60,10,46,56,4,23,4,18,22,1,46,36,10
NC-516,1069,101,67,168,901,844,50,57,107,737,225,51,10,61,164,160,21,3,24,136,77,4,73
ND-500,636,405,172,577,59,403,252,127,379,24,233,153,45,198,35,70,45,16,61,9,80,71,9
NE-500,695,316,221,537,158,298,156,73,229,69,397,160,148,308,89,142,50,68,118,24,45,21,24
NE-501,1870,"1,214",418,"1,632",238,"1,338",859,241,"1,100",238,532,355,177,532,0,210,130,80,210,0,615,429,186
NE-502,966,268,570,838,128,536,150,258,408,128,430,118,312,430,0,163,65,98,163,0,125,36,89
NH-500,1300,426,343,769,531,665,268,129,397,268,635,158,214,372,263,248,72,77,149,99,137,116,21
NH-501,504,174,133,307,197,345,148,24,172,173,159,26,109,135,24,62,10,37,47,15,135,112,23
NH-502,444,125,72,197,247,245,56,26,82,163,199,69,46,115,84,70,22,18,40,30,95,35,60
NJ-500,514,406,19,425,89,358,257,15,272,86,156,149,4,153,3,52,50,1,51,1,138,84,54
NJ-501,1392,299,911,"1,210",182,623,138,369,507,116,769,161,542,703,66,313,63,225,288,25,65,23,42
NJ-502,896,613,167,780,116,610,393,115,508,102,286,220,52,272,14,152,112,33,145,7,218,187,31
NJ-503,1433,896,228,"1,124",309,"1,005",577,162,739,266,428,319,66,385,43,194,148,32,180,14,214,105,109
NJ-504,2326,"1,269",637,"1,906",420,"1,409",872,208,"1,080",329,917,397,429,826,91,369,174,159,333,36,379,182,197
NJ-506,2842,"2,238",440,"2,678",164,891,613,114,727,164,"1,951","1,625",326,"1,951",0,730,614,116,730,0,414,293,121
NJ-507,996,476,252,728,268,722,323,155,478,244,274,153,97,250,24,98,51,42,93,5,245,164,81
NJ-508,830,525,232,757,73,442,332,49,381,61,388,193,183,376,12,175,98,72,170,5,90,40,50
NJ-509,292,125,104,229,63,152,40,49,89,63,140,85,55,140,0,56,34,22,56,0,91,28,63
NJ-510,424,334,47,381,43,257,197,17,214,43,167,137,30,167,0,75,61,14,75,0,44,21,23
NJ-511,1062,677,154,831,231,378,258,17,275,103,684,419,137,556,128,187,104,49,153,34,194,152,42
NJ-512,465,298,156,454,11,251,141,99,240,11,214,157,57,214,0,84,56,28,84,0,15,6,9
NJ-513,366,181,162,343,23,219,93,103,196,23,147,88,59,147,0,57,36,21,57,0,24,13,11
NJ-514,1598,949,293,"1,242",356,840,535,94,629,211,758,414,199,613,145,271,145,78,223,48,194,124,70
NJ-515,1188,347,725,"1,072",116,423,190,129,319,104,765,157,596,753,12,272,41,229,270,2,79,46,33
NJ-516,690,462,214,676,14,392,274,106,380,12,298,188,108,296,2,116,74,41,115,1,121,114,7
NM-500,1276,473,516,989,287,821,402,204,606,215,455,71,312,383,72,147,24,100,124,23,159,78,81
NM-501,1739,485,274,759,980,"1,040",341,116,457,583,699,144,158,302,397,220,48,54,102,118,552,167,385
NV-500,7533,976,"2,868","3,844","3,689","5,624",900,"2,002","2,902","2,722","1,909",76,866,942,967,606,30,255,285,321,808,174,634
NV-501,863,420,345,765,98,742,379,268,647,95,121,41,77,118,3,40,16,23,39,1,33,0,33
NV-502,246,132,77,209,37,111,74,16,90,21,135,58,61,119,16,54,22,27,49,5,30,17,13
NY-500,612,391,211,602,10,337,241,86,327,10,275,150,125,275,0,87,47,40,87,0,81,71,10
NY-501,175,41,133,174,1,139,24,114,138,1,36,17,19,36,0,11,5,6,11,0,5,4,1
NY-503,619,420,119,539,80,396,235,96,331,65,223,185,23,208,15,68,53,11,64,4,68,24,44
NY-504,142,38,66,104,38,95,31,36,67,28,47,7,30,37,10,13,3,8,11,2,0,0,0
NY-505,795,309,453,762,33,634,253,364,617,17,161,56,89,145,16,61,21,35,56,5,74,66,8
NY-507,288,172,37,209,79,156,76,16,92,64,132,96,21,117,15,51,39,7,46,5,35,29,6
NY-508,1377,616,587,"1,203",174,929,456,299,755,174,448,160,288,448,0,131,41,90,131,0,207,83,124
NY-510,78,38,24,62,16,46,30,0,30,16,32,8,24,32,0,10,2,8,10,0,8,6,2
NY-511,243,64,139,203,40,212,60,117,177,35,31,4,22,26,5,11,2,7,9,2,69,46,23
NY-512,212,127,39,166,46,79,24,17,41,38,133,103,22,125,8,50,36,11,47,3,31,15,16
NY-513,98,98,0,98,0,47,47,0,47,0,51,51,0,51,0,16,16,0,16,0,3,3,0
NY-514,75,16,51,67,8,26,7,11,18,8,49,9,40,49,0,23,3,20,23,0,0,0,0
NY-516,53,42,6,48,5,50,42,3,45,5,3,0,3,3,0,1,0,1,1,0,8,7,1
NY-518,334,185,133,318,16,193,129,48,177,16,141,56,85,141,0,44,22,22,44,0,21,10,11
NY-519,325,262,49,311,14,140,84,44,128,12,185,178,5,183,2,70,67,2,69,1,12,8,4
NY-520,28,27,0,27,1,20,19,0,19,1,8,8,0,8,0,4,4,0,4,0,3,3,0
NY-523,255,106,40,146,109,182,54,32,86,96,73,52,8,60,13,24,17,3,20,4,40,10,30
NY-600,50372,"38,642","7,975","46,617","3,755","21,357","12,660","4,942","17,602","3,755","29,015","25,982","3,033","29,015",0,"9,430","8,461",969,"9,430",0,"5,233","1,853","3,380"
NY-601,547,219,244,463,84,288,114,119,233,55,259,105,125,230,29,93,34,49,83,10,134,88,46
NY-602,414,182,45,227,187,301,118,0,118,183,113,64,45,109,4,31,14,16,30,1,137,0,137
NY-603,2509,"1,851",500,"2,351",158,789,377,254,631,158,"1,720","1,474",246,"1,720",0,534,467,67,534,0,52,37,15
NY-604,1829,514,"1,179","1,693",136,690,396,158,554,136,"1,139",118,"1,021","1,139",0,365,38,327,365,0,140,43,97
NY-606,488,37,398,435,53,446,13,380,393,53,42,24,18,42,0,19,12,7,19,0,34,0,34
NY-607,343,178,89,267,76,226,70,89,159,67,117,108,0,108,9,57,54,0,54,3,32,0,32
NY-608,359,111,47,158,201,247,52,39,91,156,112,59,8,67,45,41,26,2,28,13,49,7,42
NY-609,31,0,31,31,0,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH-500,1046,644,343,987,59,720,452,209,661,59,326,192,134,326,0,95,55,40,95,0,226,204,22
OH-501,745,317,314,631,114,424,199,120,319,105,321,118,194,312,9,133,54,75,129,4,200,95,105
OH-502,2185,"1,271",730,"2,001",184,"1,686","1,007",510,"1,517",169,499,264,220,484,15,166,81,80,161,5,652,540,112
OH-503,1373,"1,130",129,"1,259",114,941,727,100,827,114,432,403,29,432,0,135,126,9,135,0,503,400,103
OH-504,249,96,136,232,17,121,67,37,104,17,128,29,99,128,0,44,10,34,44,0,28,23,5
OH-505,785,539,180,719,66,504,336,102,438,66,281,203,78,281,0,101,69,32,101,0,120,78,42
OH-506,824,284,348,632,192,575,227,187,414,161,249,57,161,218,31,80,21,52,73,7,215,71,144
OH-507,3521,"1,180","1,318","2,498","1,023","1,616",688,436,"1,124",492,"1,905",492,882,"1,374",531,788,269,311,580,208,315,166,149
OH-508,536,234,187,421,115,283,155,33,188,95,253,79,154,233,20,80,23,51,74,6,49,24,25
OK-500,212,143,30,173,39,142,90,22,112,30,70,53,8,61,9,22,16,4,20,2,18,6,12
OK-501,666,429,165,594,72,478,328,95,423,55,188,101,70,171,17,57,30,22,52,5,97,75,22
OK-502,1734,858,420,"1,278",456,"1,421",699,294,993,428,313,159,126,285,28,118,56,51,107,11,533,233,300
OK-503,231,73,76,149,82,154,52,32,84,70,77,21,44,65,12,27,9,15,24,3,0,0,0
OK-504,594,168,154,322,272,329,153,73,226,103,265,15,81,96,169,86,4,17,21,65,70,24,46
OK-505,305,131,19,150,155,162,90,19,109,53,143,41,0,41,102,44,14,0,14,30,38,36,2
OK-506,250,176,50,226,24,185,146,15,161,24,65,30,35,65,0,22,12,10,22,0,11,11,0
OK-507,229,176,21,197,32,111,76,17,93,18,118,100,4,104,14,57,50,0,50,7,12,10,2
OR-500,2332,952,608,"1,560",772,"1,295",681,135,816,479,"1,037",271,473,744,293,312,97,149,246,66,707,523,184
OR-501,3918,674,"1,610","2,284","1,634","3,005",576,866,"1,442","1,563",913,98,744,842,71,317,35,252,287,30,596,210,386
OR-502,624,273,78,351,273,389,105,59,164,225,235,168,19,187,48,72,49,8,57,15,51,0,51
OR-503,2029,168,147,315,"1,714",727,109,27,136,591,"1,302",59,120,179,"1,123",401,22,41,63,338,324,27,297
OR-505,6431,"1,214","2,171","3,385","3,046","2,902",808,625,"1,433","1,469","3,529",406,"1,546","1,952","1,577","1,123",127,499,626,497,711,320,391
OR-506,680,80,188,268,412,395,4,84,88,307,285,76,104,180,105,114,21,62,83,31,248,3,245
OR-507,1576,101,65,166,"1,410","1,158",26,15,41,"1,117",418,75,50,125,293,124,24,20,44,80,192,4,188
PA-500,7640,"3,266","3,927","7,193",447,"3,869","1,696","1,726","3,422",447,"3,771","1,570","2,201","3,771",0,"1,220",476,744,"1,220",0,654,252,402
PA-501,412,221,137,358,54,264,162,54,216,48,148,59,83,142,6,50,19,29,48,2,118,85,33
PA-502,696,295,364,659,37,217,144,36,180,37,479,151,328,479,0,143,47,96,143,0,76,62,14
PA-503,188,97,68,165,23,118,73,22,95,23,70,24,46,70,0,28,9,19,28,0,16,2,14
PA-504,526,212,195,407,119,208,113,51,164,44,318,99,144,243,75,96,25,53,78,18,52,42,10
PA-505,387,121,179,300,87,178,76,23,99,79,209,45,156,201,8,75,16,57,73,2,48,48,0
PA-506,739,436,245,681,58,297,164,75,239,58,442,272,170,442,0,152,93,59,152,0,79,51,28
PA-508,222,65,137,202,20,91,42,37,79,12,131,23,100,123,8,47,9,36,45,2,31,25,6
PA-509,1662,643,906,"1,549",113,749,344,312,656,93,913,299,594,893,20,303,101,196,297,6,151,102,49
PA-510,589,103,446,549,40,325,72,217,289,36,264,31,229,260,4,98,12,85,97,1,42,32,10
PA-511,262,122,132,254,8,143,55,80,135,8,119,67,52,119,0,39,21,18,39,0,8,8,0
PA-600,1380,297,835,"1,132",248,901,223,432,655,246,479,74,403,477,2,177,27,149,176,1,143,86,57
PA-601,911,393,451,844,67,459,242,162,404,55,452,151,289,440,12,157,55,97,152,5,77,61,16
PA-603,213,12,119,131,82,189,9,101,110,79,24,3,18,21,3,8,1,6,7,1,33,1,32
PA-605,393,162,155,317,76,221,110,79,189,32,172,52,76,128,44,58,12,30,42,16,61,57,4
PR-502,2004,248,318,566,"1,438","1,909",214,281,495,"1,414",95,34,37,71,24,47,17,18,35,12,"1,475",126,"1,349"
PR-503,2305,298,504,802,"1,503","2,005",223,432,655,"1,350",300,75,72,147,153,69,22,23,45,24,"1,429",459,970
RI-500,1372,688,635,"1,323",49,643,403,196,599,44,729,285,439,724,5,214,85,127,212,2,134,90,44
SC-500,539,290,192,482,57,432,239,142,381,51,107,51,50,101,6,40,19,18,37,3,46,39,7
SC-501,1606,673,427,"1,100",506,"1,089",540,168,708,381,517,133,259,392,125,157,49,83,132,25,273,215,58
SC-502,1569,531,415,946,623,"1,278",403,317,720,558,291,128,98,226,65,97,44,34,78,19,185,105,80
SC-503,1946,186,372,558,"1,388",972,79,142,221,751,974,107,230,337,637,164,26,53,79,85,69,8,61
SD-500,579,269,269,538,41,268,138,97,235,33,311,131,172,303,8,108,46,58,104,4,104,79,25
TN-500,1064,214,93,307,757,977,175,60,235,742,87,39,33,72,15,37,14,11,25,12,679,44,635
TN-501,1814,633,"1,111","1,744",70,"1,181",520,591,"1,111",70,633,113,520,633,0,198,35,163,198,0,87,52,35
TN-502,956,430,400,830,126,794,386,290,676,118,162,44,110,154,8,55,15,37,52,3,162,125,37
TN-503,360,170,111,281,79,251,105,95,200,51,109,65,16,81,28,23,10,6,16,7,33,22,11
TN-504,2156,"1,257",509,"1,766",390,"1,996","1,195",419,"1,614",382,160,62,90,152,8,67,25,40,65,2,824,442,382
TN-506,704,176,20,196,508,333,102,14,116,217,371,74,6,80,291,133,27,2,29,104,217,79,138
TN-507,2255,108,146,254,"2,001","1,695",84,125,209,"1,486",560,24,21,45,515,227,12,9,21,206,310,20,290
TN-509,559,306,39,345,214,478,249,23,272,206,81,57,16,73,8,26,18,5,23,3,88,46,42
TN-510,438,124,166,290,148,375,78,166,244,131,63,46,0,46,17,16,14,0,14,2,112,38,74
TN-512,904,169,264,433,471,382,32,14,46,336,522,137,250,387,135,173,45,72,117,56,255,28,227
TX-500,2247,869,929,"1,798",449,"1,375",669,276,945,430,872,200,653,853,19,277,56,216,272,5,218,96,122
TX-503,5281,891,504,"1,395","3,886","3,116",614,159,773,"2,343","2,165",277,345,622,"1,543",616,83,92,175,441,443,92,351
TX-600,3408,"1,875","1,166","3,041",367,"2,046","1,254",429,"1,683",363,"1,362",621,737,"1,358",4,438,199,238,437,1,574,472,102
TX-601,2876,"1,049","1,626","2,675",201,"1,550",822,527,"1,349",201,"1,326",227,"1,099","1,326",0,422,74,348,422,0,479,392,87
TX-603,1241,629,339,968,273,804,438,93,531,273,437,191,246,437,0,133,56,77,133,0,208,72,136
TX-604,431,108,151,259,172,321,90,86,176,145,110,18,65,83,27,38,7,25,32,6,70,32,38
TX-607,12958,"5,572","1,426","6,998","5,960","8,406","3,490",895,"4,385","4,021","4,552","2,082",531,"2,613","1,939","1,131",449,152,601,530,"1,990",978,"1,012"
TX-611,431,225,73,298,133,258,130,6,136,122,173,95,67,162,11,68,39,25,64,4,75,53,22
TX-624,263,214,0,214,49,223,174,0,174,49,40,40,0,40,0,14,14,0,14,0,207,158,49
TX-700,10363,"2,288","2,729","5,017","5,346","8,054","1,653","1,207","2,860","5,194","2,309",635,"1,522","2,157",152,668,183,440,623,45,"3,627",906,"2,721"
TX-701,289,120,99,219,70,153,86,21,107,46,136,34,78,112,24,34,11,17,28,6,40,39,1
UT-500,2079,"1,115",766,"1,881",198,"1,390",814,378,"1,192",198,689,301,388,689,0,261,60,201,261,0,545,347,198
UT-503,716,354,276,630,86,470,226,158,384,86,246,128,118,246,0,81,42,39,81,0,217,131,86
UT-504,216,82,105,187,29,85,31,25,56,29,131,51,80,131,0,53,18,35,53,0,39,10,29
VA-500,1158,413,601,"1,014",144,917,323,452,775,142,241,90,149,239,2,102,43,58,101,1,185,43,142
VA-501,699,410,133,543,156,513,306,67,373,140,186,104,66,170,16,76,41,20,61,15,112,74,38
VA-502,566,334,194,528,38,485,290,157,447,38,81,44,37,81,0,31,17,14,31,0,168,130,38
VA-503,476,262,168,430,46,178,117,28,145,33,298,145,140,285,13,94,47,43,90,4,60,41,19
VA-504,265,152,85,237,28,196,129,39,168,28,69,23,46,69,0,22,4,18,22,0,31,29,2
VA-505,908,393,176,569,339,562,262,97,359,203,346,131,79,210,136,100,38,25,63,37,247,107,140
VA-507,217,97,68,165,52,137,62,23,85,52,80,35,45,80,0,30,17,13,30,0,42,10,32
VA-508,289,48,50,98,191,224,39,22,61,163,65,9,28,37,28,27,4,11,15,12,59,21,38
VA-513,382,228,98,326,56,195,140,12,152,43,187,88,86,174,13,61,30,23,53,8,36,21,15
VA-514,561,489,26,515,46,88,44,0,44,44,473,445,26,471,2,181,171,9,180,1,65,29,36
VA-521,970,495,212,707,263,505,269,72,341,164,465,226,140,366,99,170,87,50,137,33,96,69,27
VA-600,462,116,127,243,219,325,94,12,106,219,137,22,115,137,0,42,7,35,42,0,273,54,219
VA-601,1593,462,977,"1,439",154,647,309,184,493,154,946,153,793,946,0,270,44,226,270,0,335,207,128
VA-602,211,67,47,114,97,81,9,4,13,68,130,58,43,101,29,38,18,12,30,8,52,3,49
VA-603,375,162,121,283,92,230,93,45,138,92,145,69,76,145,0,48,21,27,48,0,114,51,63
VA-604,614,195,161,356,258,240,82,10,92,148,374,113,151,264,110,118,36,46,82,36,88,34,54
VI-500,559,28,44,72,487,537,18,32,50,487,22,10,12,22,0,10,4,6,10,0,487,0,487
VT-500,796,199,317,516,280,485,109,185,294,191,311,90,132,222,89,111,36,45,81,30,162,45,117
VT-501,239,141,63,204,35,114,66,20,86,28,125,75,43,118,7,43,25,15,40,3,29,15,14
WA-500,7902,"2,368","3,312","5,680","2,222","5,107","1,756","1,195","2,951","2,156","2,795",612,"2,117","2,729",66,886,184,688,872,14,932,693,239
WA-501,7679,"2,254","3,255","5,509","2,170","3,815","1,326","1,025","2,351","1,464","3,864",928,"2,230","3,158",706,"1,423",312,867,"1,179",244,876,327,549
WA-502,1357,588,424,"1,012",345,762,420,126,546,216,595,168,298,466,129,218,59,108,167,51,257,179,78
WA-503,1596,470,872,"1,342",254,660,318,117,435,225,936,152,755,907,29,299,47,242,289,10,192,0,192
WA-504,3453,434,"1,716","2,150","1,303","2,196",291,923,"1,214",982,"1,257",143,793,936,321,676,69,474,543,133,207,68,139
WA-508,1392,336,828,"1,164",228,749,164,452,616,133,643,172,376,548,95,220,53,135,188,32,139,66,73
WI-500,3105,"1,207","1,610","2,817",288,"1,044",468,398,866,178,"2,061",739,"1,212","1,951",110,715,248,428,676,39,299,178,121
WI-501,1470,729,566,"1,295",175,769,441,242,683,86,701,288,324,612,89,239,104,106,210,29,234,190,44
WI-502,256,150,100,250,6,138,104,34,138,0,118,46,66,112,6,42,15,26,41,1,29,29,0
WI-503,817,280,443,723,94,452,166,218,384,68,365,114,225,339,26,112,39,67,106,6,127,71,56
WV-500,118,90,6,96,22,104,81,4,85,19,14,9,2,11,3,6,4,1,5,1,9,0,9
WV-501,331,178,95,273,58,235,152,25,177,58,96,26,70,96,0,33,9,24,33,0,68,48,20
WV-503,325,224,39,263,62,262,163,37,200,62,63,61,2,63,0,28,27,1,28,0,133,121,12
WV-508,1635,"1,185",330,"1,515",120,"1,314","1,155",107,"1,262",52,321,30,223,253,68,130,15,89,104,26,941,889,52
WY-500,537,272,125,397,140,331,243,14,257,74,206,29,111,140,66,91,12,39,51,40,38,0,38
