CoC,Count,"Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
CA-600,47862,"5,525","5,917","11,442","36,420","44,185","4,492","3,925","8,417","35,768","3,677","1,033","1,992","3,025",652,"1,165",297,612,909,256,"19,031","1,604","17,427"
CA-601,7326,"1,152","2,829","3,981","3,345","5,295",756,"1,589","2,345","2,950","2,031",396,"1,240","1,636",395,685,132,434,566,119,975,268,707
CA-602,3649,"1,410","1,168","2,578","1,071","2,112",936,360,"1,296",816,"1,537",474,808,"1,282",255,513,171,268,439,74,257,36,221
CA-603,4253,554,926,"1,480","2,773","3,212",281,430,711,"2,501","1,041",273,496,769,272,245,81,97,178,67,503,244,259
CA-604,1537,389,516,905,632,"1,248",252,394,646,602,289,137,122,259,30,89,40,43,83,6,316,69,247
CA-606,3829,613,"1,066","1,679","2,150","2,814",386,803,"1,189","1,625","1,015",227,263,490,525,320,75,88,163,157,628,0,628
CA-607,969,322,112,434,535,676,235,63,298,378,293,87,49,136,157,74,23,12,35,39,279,59,220
CA-608,4508,484,846,"1,330","3,178","3,343",263,349,612,"2,731","1,165",221,497,718,447,338,69,136,205,133,"1,003",154,849
CA-609,6969,807,413,"1,220","5,749","6,191",317,292,609,"5,582",778,490,121,611,167,237,152,40,192,45,"2,386",142,"2,244"
CA-611,1961,218,208,426,"1,535","1,513",145,102,247,"1,266",448,73,106,179,269,132,16,36,52,80,301,42,259
CA-612,296,151,82,233,63,161,113,10,123,38,135,38,72,110,25,50,16,26,42,8,79,64,15
CA-613,342,89,24,113,229,54,54,0,54,0,288,35,24,59,229,29,17,12,29,0,229,0,229
CA-614,2408,133,54,187,"2,221","1,348",76,54,130,"1,218","1,060",57,0,57,"1,003",193,22,0,22,171,615,15,600
CO-500,4450,601,492,"1,093","3,357","2,633",347,104,451,"2,182","1,817",254,388,642,"1,175",613,104,147,251,362,"1,443",31,"1,412"
CO-503,8698,"2,701","2,484","5,185","3,513","3,449","1,554",615,"2,169","1,280","5,249","1,147","1,869","3,016","2,233","1,994",459,647,"1,106",888,412,272,140
CO-504,1077,328,365,693,384,762,257,177,434,328,315,71,188,259,56,97,21,54,75,22,195,101,94
CT-503,919,394,395,789,130,627,300,204,504,123,292,94,191,285,7,93,31,59,90,3,135,75,60
CT-505,3563,"1,868","1,014","2,882",681,"2,546","1,331",621,"1,952",594,"1,017",537,393,930,87,349,180,134,314,35,888,521,367
DC-500,5320,"3,248","1,732","4,980",340,"3,717","2,455",922,"3,377",340,"1,603",793,810,"1,603",0,507,246,261,507,0,"1,760","1,439",321
DE-500,1061,439,415,854,207,716,283,247,530,186,345,156,168,324,21,119,56,55,111,8,150,76,74
FL-500,1012,274,220,494,518,777,197,145,342,435,235,77,75,152,83,79,20,25,45,34,135,0,135
FL-501,6483,358,692,"1,050","5,433","4,397",262,322,584,"3,813","2,086",96,370,466,"1,620",837,40,108,148,689,528,147,381
FL-502,2526,487,818,"1,305","1,221","2,129",359,552,911,"1,218",397,128,266,394,3,151,54,96,150,1,611,197,414
FL-503,802,208,279,487,315,593,177,159,336,257,209,31,120,151,58,63,10,38,48,15,197,179,18
FL-504,1478,101,468,569,909,854,70,133,203,651,624,31,335,366,258,304,9,209,218,86,184,0,184
FL-505,2179,45,60,105,"2,074","1,193",21,30,51,"1,142",986,24,30,54,932,442,12,12,24,418,828,0,828
FL-506,590,254,241,495,95,434,200,164,364,70,156,54,77,131,25,44,14,23,37,7,150,100,50
FL-507,3823,734,"1,269","2,003","1,820","2,009",412,827,"1,239",770,"1,814",322,442,764,"1,050",544,96,128,224,320,951,324,627
FL-508,678,155,108,263,415,589,117,64,181,408,89,38,44,82,7,39,13,20,33,6,179,5,174
FL-509,1734,317,141,458,"1,276",972,106,39,145,827,762,211,102,313,449,398,68,39,107,291,202,0,202
FL-510,2743,828,757,"1,585","1,158","2,237",664,423,"1,087","1,150",506,164,334,498,8,250,134,114,248,2,416,282,134
FL-511,629,168,179,347,282,368,89,121,210,158,261,79,58,137,124,104,47,17,64,40,36,0,36
FL-512,1238,60,46,106,"1,132","1,099",32,4,36,"1,063",139,28,42,70,69,50,14,19,33,17,119,0,119
FL-513,1899,94,408,502,"1,397","1,532",52,249,301,"1,231",367,42,159,201,166,115,16,43,59,56,576,25,551
FL-514,480,139,173,312,168,348,105,75,180,168,132,34,98,132,0,45,13,32,45,0,7,7,0
FL-515,313,62,149,211,102,269,43,124,167,102,44,19,25,44,0,12,5,7,12,0,30,0,30
FL-517,904,0,664,664,240,904,0,664,664,240,0,0,0,0,0,0,0,0,0,0,240,0,240
FL-518,250,77,8,85,165,149,45,8,53,96,101,32,0,32,69,19,8,0,8,11,59,17,42
FL-519,2260,"1,379",0,"1,379",881,433,246,0,246,187,"1,827","1,133",0,"1,133",694,831,515,0,515,316,212,151,61
FL-520,2019,74,118,192,"1,827",845,40,104,144,701,"1,174",34,14,48,"1,126",378,14,5,19,359,86,8,78
FL-600,4392,"1,304","1,708","3,012","1,380","3,163",830,955,"1,785","1,378","1,229",474,753,"1,227",2,347,144,202,346,1,407,133,274
FL-601,3154,834,"1,619","2,453",701,"2,451",594,"1,220","1,814",637,703,240,399,639,64,178,60,95,155,23,222,59,163
FL-602,730,64,386,450,280,635,34,328,362,273,95,30,58,88,7,46,15,29,44,2,273,0,273
FL-603,2382,162,271,433,"1,949","1,958",109,265,374,"1,584",424,53,6,59,365,123,10,1,11,112,147,54,93
FL-604,1121,265,212,477,644,"1,017",240,170,410,607,104,25,42,67,37,37,13,14,27,10,289,120,169
FL-605,1766,345,382,727,"1,039","1,302",157,157,314,988,464,188,225,413,51,150,59,74,133,17,329,34,295
FL-606,484,200,165,365,119,383,166,103,269,114,101,34,62,96,5,32,9,21,30,2,50,0,50
GA-500,6840,"2,386","2,339","4,725","2,115","5,622","2,027","1,524","3,551","2,071","1,218",359,815,"1,174",44,379,115,250,365,14,"1,196",583,613
GA-501,10255,916,"1,055","1,971","8,284","5,028",616,475,"1,091","3,937","5,227",300,580,880,"4,347","1,550",142,166,308,"1,242",657,278,379
GA-503,464,192,141,333,131,304,98,83,181,123,160,94,58,152,8,53,31,19,50,3,158,74,84
GA-504,489,276,175,451,38,373,243,96,339,34,116,33,79,112,4,40,13,26,39,1,90,90,0
GA-505,540,140,48,188,352,413,98,48,146,267,127,42,0,42,85,49,15,0,15,34,69,38,31
GA-506,537,125,204,329,208,346,74,86,160,186,191,51,118,169,22,69,20,41,61,8,154,45,109
GA-507,514,232,112,344,170,435,195,80,275,160,79,37,32,69,10,37,16,11,27,10,160,0,160
GU-500,725,33,70,103,622,254,14,39,53,201,471,19,31,50,421,120,5,9,14,106,0,0,0
HI-500,2320,310,445,755,"1,565","1,245",310,36,346,899,"1,075",0,409,409,666,296,0,121,121,175,553,18,535
HI-501,3750,729,"1,228","1,957","1,793","2,090",344,410,754,"1,336","1,660",385,818,"1,203",457,438,115,208,323,115,225,114,111
IA-500,164,81,78,159,5,122,71,46,117,5,42,10,32,42,0,17,3,14,17,0,41,41,0
IA-501,1529,463,877,"1,340",189,678,301,226,527,151,851,162,651,813,38,305,58,229,287,18,107,84,23
IA-502,1041,308,634,942,99,704,243,367,610,94,337,65,267,332,5,105,22,82,104,1,159,100,59
ID-500,581,336,136,472,109,410,295,12,307,103,171,41,124,165,6,57,17,38,55,2,26,4,22
ID-501,1168,250,403,653,515,692,145,161,306,386,476,105,242,347,129,153,38,82,120,33,69,33,36
IL-500,253,64,171,235,18,183,51,121,172,11,70,13,50,63,7,24,5,16,21,3,34,23,11
IL-501,705,313,318,631,74,381,208,116,324,57,324,105,202,307,17,114,26,82,108,6,149,119,30
IL-502,496,234,252,486,10,240,129,101,230,10,256,105,151,256,0,82,28,54,82,0,52,48,4
IL-503,429,236,180,416,13,158,136,20,156,2,271,100,160,260,11,102,35,63,98,4,59,57,2
IL-504,240,81,122,203,37,77,43,3,46,31,163,38,119,157,6,51,12,36,48,3,23,15,8
IL-506,397,125,254,379,18,244,105,124,229,15,153,20,130,150,3,60,8,51,59,1,39,25,14
IL-507,434,167,169,336,98,335,149,88,237,98,99,18,81,99,0,30,3,27,30,0,183,85,98
IL-508,799,235,207,442,357,286,106,40,146,140,513,129,167,296,217,160,38,35,73,87,82,20,62
IL-510,5979,"2,078","2,268","4,346","1,633","3,927","1,664",695,"2,359","1,568","2,052",414,"1,573","1,987",65,598,119,457,576,22,"1,018",334,684
IL-511,1420,512,650,"1,162",258,721,342,130,472,249,699,170,520,690,9,328,64,261,325,3,237,141,96
IL-512,467,241,158,399,68,228,156,29,185,43,239,85,129,214,25,73,27,40,67,6,57,44,13
IL-513,260,88,157,245,15,96,36,45,81,15,164,52,112,164,0,94,32,62,94,0,24,17,7
IL-514,766,190,452,642,124,380,142,136,278,102,386,48,316,364,22,131,18,105,123,8,173,71,102
IL-515,246,178,36,214,32,58,45,5,50,8,188,133,31,164,24,63,44,11,55,8,11,10,1
IL-516,347,94,73,167,180,124,52,13,65,59,223,42,60,102,121,73,14,23,37,36,34,21,13
IL-517,474,275,143,418,56,356,224,76,300,56,118,51,67,118,0,36,16,20,36,0,245,212,33
IL-518,600,224,282,506,94,208,116,81,197,11,392,108,201,309,83,104,27,52,79,25,85,75,10
IL-519,305,16,132,148,157,235,14,83,97,138,70,2,49,51,19,27,1,17,18,9,17,4,13
IL-520,870,562,234,796,74,416,276,82,358,58,454,286,152,438,16,123,83,34,117,6,159,113,46
IN-502,5490,"2,180","2,282","4,462","1,028","3,407","1,436","1,095","2,531",876,"2,083",744,"1,187","1,931",152,714,265,408,673,41,565,348,217
IN-503,1868,691,943,"1,634",234,"1,327",462,631,"1,093",234,541,229,312,541,0,149,73,76,149,0,129,102,27
KS-502,526,337,136,473,53,368,260,56,316,52,158,77,80,157,1,51,23,27,50,1,56,51,5
KS-503,227,186,40,226,1,99,95,3,98,1,128,91,37,128,0,38,27,11,38,0,18,17,1
KS-505,234,86,61,147,87,60,9,8,17,43,174,77,53,130,44,50,23,17,40,10,12,3,9
KS-507,937,502,351,853,84,554,277,220,497,57,383,225,131,356,27,126,75,41,116,10,50,36,14
KY-500,4316,933,"1,488","2,421","1,895","1,503",455,316,771,732,"2,813",478,"1,172","1,650","1,163",849,144,365,509,340,186,113,73
KY-501,2587,"1,230","1,177","2,407",180,"1,641",965,496,"1,461",180,946,265,681,946,0,332,72,260,332,0,259,125,134
KY-502,1158,503,609,"1,112",46,746,437,265,702,44,412,66,344,410,2,186,25,160,185,1,129,113,16
LA-500,631,159,298,457,174,305,70,144,214,91,326,89,154,243,83,104,26,53,79,25,47,16,31
LA-502,857,343,380,723,134,504,162,279,441,63,353,181,101,282,71,118,64,33,97,21,78,52,26
LA-503,1619,335,655,990,629,801,243,261,504,297,818,92,394,486,332,262,33,126,159,103,220,60,160
LA-505,313,82,180,262,51,120,52,54,106,14,193,30,126,156,37,59,12,36,48,11,15,14,1
LA-506,434,101,102,203,231,171,41,25,66,105,263,60,77,137,126,83,21,25,46,37,42,15,27
LA-507,188,87,53,140,48,109,52,20,72,37,79,35,33,68,11,28,11,12,23,5,26,14,12
LA-509,1452,281,861,"1,142",310,963,156,596,752,211,489,125,265,390,99,178,42,106,148,30,134,55,79
MA-500,5104,"2,324","2,474","4,798",306,"2,948","1,400","1,242","2,642",306,"2,156",924,"1,232","2,156",0,771,355,416,771,0,988,854,134
MA-501,964,616,295,911,53,417,123,241,364,53,547,493,54,547,0,156,131,25,156,0,81,46,35
MA-502,236,125,83,208,28,170,98,44,142,28,66,27,39,66,0,26,11,15,26,0,126,98,28
MA-503,697,258,110,368,329,408,103,67,170,238,289,155,43,198,91,119,69,17,86,33,288,93,195
MA-504,1053,592,428,"1,020",33,729,409,287,696,33,324,183,141,324,0,116,62,54,116,0,149,136,13
MA-505,390,148,208,356,34,309,78,197,275,34,81,70,11,81,0,23,19,4,23,0,78,78,0
MA-506,1302,755,513,"1,268",34,677,409,242,651,26,625,346,271,617,8,239,132,103,235,4,144,117,27
