CoC,Count,"Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
OR-502,899,85,769,854,45,756,71,646,717,39,143,14,123,137,6,57,6,49,55,2,41,27,27,14
OR-503,742,87,223,310,432,390,56,84,140,250,352,31,139,170,182,106,12,42,54,52,203,22,22,181
OR-505,6777,924,"1,522","2,446","4,331","3,109",629,493,"1,122","1,987","3,668",295,"1,029","1,324","2,344","1,197",106,326,432,765,937,366,366,571
OR-506,748,86,126,212,536,373,7,39,46,327,375,79,87,166,209,117,22,30,52,65,182,0,0,182
OR-507,1826,32,95,127,"1,699","1,364",4,14,18,"1,346",462,28,81,109,353,128,9,23,32,96,196,0,0,196
PA-500,6304,"3,659","2,139","5,798",506,"3,054","2,155",393,"2,548",506,"3,250","1,504","1,746","3,250",0,"1,020",477,543,"1,020",0,596,186,186,410
PA-501,421,209,156,365,56,241,125,60,185,56,180,84,96,180,0,64,30,34,64,0,154,115,115,39
PA-502,778,374,353,727,51,272,158,63,221,51,506,216,290,506,0,134,57,77,134,0,92,55,55,37
PA-503,202,101,98,199,3,131,88,40,128,3,71,13,58,71,0,25,4,21,25,0,23,22,22,1
PA-504,469,219,212,431,38,181,116,32,148,33,288,103,180,283,5,108,35,71,106,2,67,50,50,17
PA-505,351,147,187,334,17,180,114,49,163,17,171,33,138,171,0,54,12,42,54,0,61,61,61,0
PA-506,385,169,209,378,7,223,121,95,216,7,162,48,114,162,0,57,16,41,57,0,48,45,45,3
PA-508,280,77,151,228,52,118,52,38,90,28,162,25,113,138,24,58,10,37,47,11,33,23,23,10
PA-509,1908,709,"1,062","1,771",137,791,390,272,662,129,"1,117",319,790,"1,109",8,368,106,260,366,2,145,83,83,62
PA-510,666,217,432,649,17,380,148,218,366,14,286,69,214,283,3,104,25,78,103,1,45,44,44,1
PA-511,474,113,327,440,34,170,32,112,144,26,304,81,215,296,8,86,25,60,85,1,22,17,17,5
PA-600,1418,303,833,"1,136",282,907,203,422,625,282,511,100,411,511,0,181,31,150,181,0,329,173,173,156
PA-601,831,384,427,811,20,427,235,172,407,20,404,149,255,404,0,139,52,87,139,0,88,76,76,12
PA-603,220,51,151,202,18,133,17,104,121,12,87,34,47,81,6,26,10,14,24,2,14,5,5,9
PA-605,389,222,128,350,39,176,113,54,167,9,213,109,74,183,30,73,31,30,61,12,81,72,72,9
PR-502,1775,310,558,868,907,"1,597",286,512,798,799,178,24,46,70,108,61,6,19,25,36,"1,045",511,511,534
PR-503,2295,241,216,457,"1,838","2,133",157,178,335,"1,798",162,84,38,122,40,48,20,13,33,15,"1,150",150,150,"1,000"
RI-500,1607,819,737,"1,556",51,"1,139",616,472,"1,088",51,468,203,265,468,0,202,99,103,202,0,220,190,190,30
SC-500,416,173,174,347,69,337,142,126,268,69,79,31,48,79,0,27,9,18,27,0,55,55,55,0
SC-501,1164,537,471,"1,008",156,753,392,208,600,153,411,145,263,408,3,131,46,84,130,1,210,140,140,70
SC-502,1368,505,424,929,439,993,379,233,612,381,375,126,191,317,58,131,43,68,111,20,180,102,102,78
SC-503,1525,362,390,752,773,"1,111",205,260,465,646,414,157,130,287,127,185,85,50,135,50,229,95,95,134
SD-500,731,371,296,667,64,445,218,163,381,64,286,153,133,286,0,87,42,45,87,0,109,45,45,64
TN-500,513,184,122,306,207,363,139,63,202,161,150,45,59,104,46,47,15,18,33,14,162,37,37,125
TN-501,1613,489,"1,055","1,544",69,978,334,575,909,69,635,155,480,635,0,192,39,153,192,0,53,33,33,20
TN-502,959,461,381,842,117,825,418,299,717,108,134,43,82,125,9,45,12,30,42,3,250,190,190,60
TN-503,226,92,89,181,45,171,60,68,128,43,55,32,21,53,2,20,12,7,19,1,26,15,15,11
TN-504,2236,"1,114",724,"1,838",398,"2,017","1,052",567,"1,619",398,219,62,157,219,0,96,27,69,96,0,"1,423","1,025","1,025",398
TN-506,1229,139,57,196,"1,033",591,120,35,155,436,638,19,22,41,597,297,7,4,11,286,153,62,62,91
TN-507,2214,987,139,"1,126","1,088","2,022",938,101,"1,039",983,192,49,38,87,105,71,16,10,26,45,251,28,28,223
TN-509,840,564,77,641,199,743,522,36,558,185,97,42,41,83,14,30,15,12,27,3,68,37,37,31
TN-510,204,99,13,112,92,160,61,7,68,92,44,38,6,44,0,14,12,2,14,0,62,6,6,56
TN-512,498,339,8,347,151,178,117,8,125,53,320,222,0,222,98,155,127,0,127,28,184,65,65,119
TX-500,2690,728,855,"1,583","1,107","1,906",453,377,830,"1,076",784,275,478,753,31,256,81,166,247,9,612,298,298,314
TX-503,2641,870,548,"1,418","1,223","1,978",594,184,778,"1,200",663,276,364,640,23,215,73,135,208,7,529,179,179,350
TX-600,3701,"2,032","1,493","3,525",176,"2,225","1,514",547,"2,061",164,"1,476",518,946,"1,464",12,452,161,288,449,3,601,528,528,73
TX-601,2181,"1,148",838,"1,986",195,"1,299",879,225,"1,104",195,882,269,613,882,0,281,81,200,281,0,209,147,147,62
TX-603,1260,567,397,964,296,768,342,136,478,290,492,225,261,486,6,159,73,83,156,3,205,69,69,136
TX-604,312,107,119,226,86,231,86,65,151,80,81,21,54,75,6,24,7,16,23,1,48,29,29,19
TX-607,15327,"4,015","1,629","5,644","9,683","7,482","2,101",807,"2,908","4,574","7,845","1,914",822,"2,736","5,109","3,234",730,264,994,"2,240","1,743",602,602,"1,141"
TX-611,566,306,133,439,127,335,238,4,242,93,231,68,129,197,34,71,22,33,55,16,86,48,48,38
TX-624,242,235,0,235,7,215,208,0,208,7,27,27,0,27,0,11,11,0,11,0,190,183,183,7
TX-700,7576,"2,530","2,927","5,457","2,119","5,902","1,971","2,066","4,037","1,865","1,674",559,861,"1,420",254,561,180,317,497,64,"1,739",613,613,"1,126"
TX-701,265,134,47,181,84,223,119,27,146,77,42,15,20,35,7,18,5,10,15,3,58,45,45,13
UT-500,1811,852,847,"1,699",112,"1,050",592,346,938,112,761,260,501,761,0,288,83,205,288,0,376,264,264,112
UT-503,1685,"1,083",503,"1,586",99,"1,015",619,297,916,99,670,464,206,670,0,208,147,61,208,0,228,129,129,99
UT-504,299,145,110,255,44,177,103,30,133,44,122,42,80,122,0,41,16,25,41,0,96,52,52,44
VA-500,1150,433,645,"1,078",72,926,373,481,854,72,224,60,164,224,0,84,21,63,84,0,73,54,54,19
VA-501,685,444,109,553,132,470,309,52,361,109,215,135,57,192,23,69,43,18,61,8,83,49,49,34
VA-502,597,416,170,586,11,433,294,128,422,11,164,122,42,164,0,71,49,22,71,0,247,238,238,9
VA-503,433,242,152,394,39,215,147,29,176,39,218,95,123,218,0,69,28,41,69,0,50,30,30,20
VA-504,199,135,50,185,14,161,124,23,147,14,38,11,27,38,0,12,4,8,12,0,88,77,77,11
VA-505,569,265,249,514,55,422,198,179,377,45,147,67,70,137,10,60,30,26,56,4,78,62,62,16
VA-507,303,133,60,193,110,194,88,20,108,86,109,45,40,85,24,36,13,14,27,9,67,35,35,32
VA-508,255,147,64,211,44,133,56,33,89,44,122,91,31,122,0,44,35,9,44,0,53,30,30,23
VA-513,229,144,24,168,61,88,68,5,73,15,141,76,19,95,46,51,26,9,35,16,36,34,34,2
VA-514,202,66,29,95,107,140,37,3,40,100,62,29,26,55,7,20,9,8,17,3,52,7,7,45
VA-521,881,389,210,599,282,426,201,55,256,170,455,188,155,343,112,154,64,49,113,41,193,75,75,118
VA-600,511,169,135,304,207,322,100,15,115,207,189,69,120,189,0,56,22,34,56,0,138,52,52,86
VA-601,1730,642,959,"1,601",129,663,415,119,534,129,"1,067",227,840,"1,067",0,315,70,245,315,0,297,193,193,104
VA-602,143,67,41,108,35,49,22,3,25,24,94,45,38,83,11,28,14,11,25,3,19,7,7,12
VA-603,335,180,123,303,32,200,125,43,168,32,135,55,80,135,0,43,16,27,43,0,76,52,52,24
VA-604,630,223,169,392,238,224,114,4,118,106,406,109,165,274,132,135,31,58,89,46,71,39,39,32
VI-500,471,40,36,76,395,430,5,30,35,395,41,35,6,41,0,18,15,3,18,0,369,4,4,365
VT-500,649,245,279,524,125,394,122,174,296,98,255,123,105,228,27,84,41,32,73,11,73,33,33,40
VT-501,565,350,183,533,32,299,156,119,275,24,266,194,64,258,8,109,75,30,105,4,61,46,46,15
WA-500,8952,"2,552","3,537","6,089","2,863","5,603","1,837",939,"2,776","2,827","3,349",715,"2,598","3,313",36,"1,028",204,811,"1,015",13,977,611,611,366
WA-501,7003,"2,318","2,732","5,050","1,953","3,362","1,343",728,"2,071","1,291","3,641",975,"2,004","2,979",662,"1,232",349,641,990,242,666,362,362,304
WA-502,1229,645,427,"1,072",157,673,412,146,558,115,556,233,281,514,42,174,70,83,153,21,270,190,190,80
WA-503,2083,507,"1,346","1,853",230,748,322,224,546,202,"1,335",185,"1,122","1,307",28,398,50,338,388,10,321,155,155,166
WA-504,2356,343,903,"1,246","1,110","1,163",217,76,293,870,"1,193",126,827,953,240,399,44,277,321,78,217,154,154,63
WA-508,1159,349,578,927,232,537,148,247,395,142,622,201,331,532,90,234,67,137,204,30,158,136,136,22
WI-500,3992,"1,623","1,584","3,207",785,"1,588",859,476,"1,335",253,"2,404",764,"1,108","1,872",532,811,259,362,621,190,254,219,219,35
WI-501,1537,638,679,"1,317",220,974,434,392,826,148,563,204,287,491,72,173,68,81,149,24,314,258,258,56
WI-502,354,154,199,353,1,250,128,121,249,1,104,26,78,104,0,31,6,25,31,0,11,11,11,0
WI-503,642,374,214,588,54,349,201,122,323,26,293,173,92,265,28,93,52,30,82,11,137,124,124,13
WV-500,87,72,15,87,0,71,67,4,71,0,16,5,11,16,0,6,2,4,6,0,21,21,21,0
WV-501,195,117,73,190,5,130,95,30,125,5,65,22,43,65,0,20,6,14,20,0,42,38,38,4
WV-503,382,232,99,331,51,284,172,61,233,51,98,60,38,98,0,28,19,9,28,0,102,59,59,43
WV-508,1003,372,298,670,333,616,245,174,419,197,387,127,124,251,136,123,46,38,84,39,172,121,121,51
WY-500,515,185,266,451,64,340,120,162,282,58,175,65,104,169,6,72,19,51,70,2,79,30,30,49
