CoC,Count,"Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
MD-500,218,95,108,203,15,76,33,31,64,12,142,62,77,139,3,37,15,21,36,1,37,31,31,6
MD-501,3419,896,"1,295","2,191","1,228","2,484",664,"1,083","1,747",737,935,232,212,444,491,359,93,70,163,196,853,625,625,228
MD-502,152,73,55,128,24,86,47,15,62,24,66,26,40,66,0,22,7,15,22,0,32,21,21,11
MD-503,326,154,78,232,94,198,91,13,104,94,128,63,65,128,0,41,21,20,41,0,53,31,31,22
MD-504,180,100,33,133,47,88,43,0,43,45,92,57,33,90,2,30,21,8,29,1,58,17,17,41
MD-505,1520,924,190,"1,114",406,"1,179",707,130,837,342,341,217,60,277,64,131,84,22,106,25,76,52,52,24
MD-506,151,69,54,123,28,116,44,54,98,18,35,25,0,25,10,12,8,0,8,4,29,21,21,8
MD-507,173,64,82,146,27,90,32,37,69,21,83,32,45,77,6,36,15,19,34,2,40,25,25,15
MD-508,2560,314,222,536,"2,024",640,134,90,224,416,"1,920",180,132,312,"1,608",594,55,39,94,500,456,129,129,327
MD-509,324,107,150,257,67,186,83,66,149,37,138,24,84,108,30,46,8,28,36,10,66,39,39,27
MD-510,11,1,3,4,7,11,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,144,122,16,138,6,85,72,7,79,6,59,50,9,59,0,16,13,3,16,0,8,7,7,1
