CoC,Count,"Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
AR-500,1066,51,137,878,244,11,14,219,319,40,17,262,0,0,0,563,51,31,481,503,0,106,397,986,0,130,856,228,0,12,216,255,0,12,243,0,0,0,483,0,24,459,503,0,106,397,80,51,7,22,16,11,2,3,64,40,5,19,80,51,7,22,0,0,0,0,27,5,22,27,0,373,69,0,69,304,364,60,0,60,304,9,9,9,0,260,10,204,8,56,2
AR-501,668,210,133,325,313,158,46,109,133,22,49,62,0,0,0,446,180,95,171,222,30,38,154,379,42,61,276,94,34,0,60,108,8,38,62,0,0,0,202,42,38,122,177,0,23,154,289,168,72,49,219,124,46,49,25,14,11,0,244,138,57,49,45,30,15,0,98,73,10,83,15,65,27,0,27,38,47,9,0,9,38,18,18,18,0,147,0,90,0,57,0
AR-503,1760,91,34,"1,635",376,66,27,283,94,7,3,84,0,0,0,470,73,30,367,"1,290",18,4,"1,268","1,603",0,18,"1,585",266,0,12,254,82,0,2,80,0,0,0,348,0,14,334,"1,255",0,4,"1,251",157,91,16,50,110,66,15,29,12,7,1,4,122,73,16,33,35,18,0,17,51,35,5,40,11,114,53,0,53,61,112,53,0,53,59,2,0,0,2,46,1,27,1,19,0
AR-504,254,45,42,167,41,8,5,28,81,0,13,68,0,0,0,122,8,18,96,132,37,24,71,172,0,27,145,30,0,4,26,81,0,13,68,0,0,0,111,0,17,94,61,0,10,51,82,45,15,22,11,8,1,2,0,0,0,0,11,8,1,2,71,37,14,20,33,3,0,3,30,46,18,0,18,28,38,16,0,16,22,8,2,2,6,9,0,5,0,4,0
AR-505,64,32,4,28,63,32,4,27,0,0,0,0,0,0,0,63,32,4,27,1,0,0,1,34,12,2,20,33,12,2,19,0,0,0,0,0,0,0,33,12,2,19,1,0,0,1,30,20,2,8,30,20,2,8,0,0,0,0,30,20,2,8,0,0,0,0,9,9,0,9,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0
AZ-500,2435,643,197,"1,595",915,363,65,487,471,204,47,220,0,0,0,"1,386",567,112,707,"1,049",76,85,888,"1,448",4,140,"1,304",403,0,53,350,172,2,17,153,0,0,0,575,2,70,503,873,2,70,801,987,639,57,291,512,363,12,137,299,202,30,67,811,565,42,204,176,74,15,87,281,121,109,230,51,329,168,0,168,161,239,120,0,120,119,90,48,48,42,389,20,264,10,125,10
AZ-501,2238,397,232,"1,609",801,125,66,610,923,262,107,554,13,1,12,"1,737",387,174,"1,176",501,10,58,433,"1,602",20,175,"1,407",618,17,53,548,488,3,66,419,13,1,12,"1,119",20,120,979,483,0,55,428,636,377,57,202,183,108,13,62,435,259,41,135,618,367,54,197,18,10,3,5,209,59,142,201,8,360,153,13,166,194,343,140,13,153,190,17,13,13,4,322,18,249,17,73,1
AZ-502,5889,"1,558",513,"3,818","2,177",457,167,"1,553","2,106","1,053",216,837,25,0,25,"4,308","1,510",383,"2,415","1,581",48,130,"1,403","3,460",25,325,"3,110","1,437",6,100,"1,331",506,13,104,389,25,0,25,"1,968",19,204,"1,745","1,492",6,121,"1,365","2,429","1,533",188,708,740,451,67,222,"1,600","1,040",112,448,"2,340","1,491",179,670,89,42,9,38,801,246,533,779,22,499,161,25,186,313,482,152,25,177,305,17,9,9,8,511,37,388,31,123,6
CA-500,7631,723,"1,063","5,845",918,146,31,741,"1,023",363,148,512,16,0,16,"1,957",509,179,"1,269","5,674",214,884,"4,576","6,564",203,958,"5,403",623,10,19,594,307,10,66,231,16,0,16,946,20,85,841,"5,618",183,873,"4,562","1,067",520,105,442,295,136,12,147,716,353,82,281,"1,011",489,94,428,56,31,11,14,349,124,208,332,17,"2,518",252,7,259,"2,259","2,509",252,7,259,"2,250",9,0,0,9,718,61,139,9,579,52
CA-501,7008,455,"1,848","4,705","1,919",184,102,"1,633",720,132,213,375,54,0,54,"2,693",316,315,"2,062","4,315",139,"1,533","2,643","6,329",134,"1,768","4,427","1,545",6,61,"1,478",448,3,183,262,54,0,54,"2,047",9,244,"1,794","4,282",125,"1,524","2,633",679,321,80,278,374,178,41,155,272,129,30,113,646,307,71,268,33,14,9,10,229,121,97,218,11,"2,093",583,0,583,"1,510","1,977",483,0,483,"1,494",116,100,100,16,716,37,294,15,422,22
CA-502,4264,753,435,"3,076",914,228,91,595,"1,013",419,201,393,0,0,0,"1,927",647,292,988,"2,337",106,143,"2,088","2,922",10,269,"2,643",548,8,63,477,255,2,66,187,0,0,0,803,10,129,664,"2,119",0,140,"1,979","1,342",743,166,433,366,220,28,118,758,417,135,206,"1,124",637,163,324,218,106,3,109,462,126,294,420,42,"1,054",200,0,200,854,931,171,0,171,760,123,29,29,94,492,20,139,9,353,11
CA-503,2538,501,226,"1,811",808,243,42,523,944,250,130,564,0,0,0,"1,752",493,172,"1,087",786,8,54,724,"1,737",8,141,"1,588",435,4,14,417,521,0,73,448,0,0,0,956,4,87,865,781,4,54,723,801,493,85,223,373,239,28,106,423,250,57,116,796,489,85,222,5,4,0,1,249,108,140,248,1,440,155,0,155,285,432,147,0,147,285,8,8,8,0,302,21,166,18,136,3
CA-504,4280,537,873,"2,870",504,79,22,403,467,161,41,265,0,0,0,971,240,63,668,"3,309",297,810,"2,202","3,829",277,851,"2,701",374,6,17,351,200,0,32,168,0,0,0,574,6,49,519,"3,255",271,802,"2,182",451,260,22,169,130,73,5,52,267,161,9,97,397,234,14,149,54,26,8,20,152,51,85,136,16,"1,168",134,0,134,"1,034","1,148",119,0,119,"1,029",20,15,15,5,400,31,57,2,343,29
CA-505,2000,193,148,"1,659",414,69,47,298,257,111,30,116,0,0,0,671,180,77,414,"1,329",13,71,"1,245","1,703",25,120,"1,558",300,3,32,265,74,9,17,48,0,0,0,374,12,49,313,"1,329",13,71,"1,245",297,168,28,101,114,66,15,33,183,102,13,68,297,168,28,101,0,0,0,0,102,41,61,102,0,754,160,0,160,594,714,141,0,141,573,40,19,19,21,188,5,53,3,135,2
CA-506,2955,374,397,"2,184",355,97,41,217,394,133,29,232,0,0,0,749,230,70,449,"2,206",144,327,"1,735","2,292",15,360,"1,917",194,0,26,168,173,0,17,156,0,0,0,367,0,43,324,"1,925",15,317,"1,593",663,359,37,267,161,97,15,49,221,133,12,76,382,230,27,125,281,129,10,142,247,44,77,121,126,"1,038",178,0,178,860,866,85,0,85,781,172,93,93,79,250,10,89,4,161,6
CA-507,676,149,53,474,188,22,10,156,317,126,14,177,0,0,0,505,148,24,333,171,1,29,141,438,1,45,392,148,0,8,140,119,0,8,111,0,0,0,267,0,16,251,171,1,29,141,238,148,8,82,40,22,2,16,198,126,6,66,238,148,8,82,0,0,0,0,78,10,68,78,0,89,26,0,26,63,87,24,0,24,63,2,2,2,0,54,3,28,3,26,0
CA-508,3536,425,882,"2,229",402,99,19,284,239,109,25,105,0,0,0,641,208,44,389,"2,895",217,838,"1,840","2,992",133,814,"2,045",253,6,9,238,45,0,15,30,0,0,0,298,6,24,268,"2,694",127,790,"1,777",544,292,68,184,149,93,10,46,194,109,10,75,343,202,20,121,201,90,48,63,165,39,65,104,61,989,74,0,74,915,957,74,0,74,883,32,0,0,32,395,18,52,4,343,14
CA-509,1392,55,113,"1,224",106,10,6,90,68,16,21,31,0,0,0,174,26,27,121,"1,218",29,86,"1,103","1,267",1,96,"1,170",91,1,3,87,38,0,15,23,0,0,0,129,1,18,110,"1,138",0,78,"1,060",125,54,17,54,15,9,3,3,30,16,6,8,45,25,9,11,80,29,8,43,34,4,12,16,18,227,29,0,29,198,171,23,0,23,148,56,6,6,50,55,3,15,0,40,3
CA-510,1201,146,99,956,337,39,13,285,219,25,21,173,0,0,0,556,64,34,458,645,82,65,498,941,9,75,857,284,9,12,263,175,0,18,157,0,0,0,459,9,30,420,482,0,45,437,260,137,24,99,53,30,1,22,44,25,3,16,97,55,4,38,163,82,20,61,74,17,16,33,41,205,65,0,65,140,127,61,0,61,66,78,4,4,74,87,9,44,5,43,4
CA-511,1541,443,96,"1,002",760,163,44,553,518,265,41,212,0,0,0,"1,278",428,85,765,263,15,11,237,794,2,42,750,480,2,28,450,76,0,3,73,0,0,0,556,2,31,523,238,0,11,227,747,441,54,252,280,161,16,103,442,265,38,139,722,426,54,242,25,15,0,10,230,93,129,222,8,204,137,0,137,67,178,114,0,114,64,26,23,23,3,83,1,61,0,22,1
CA-512,1995,327,135,"1,533",240,40,9,191,456,186,45,225,0,0,0,696,226,54,416,"1,299",101,81,"1,117","1,374",14,95,"1,265",177,6,2,169,142,3,19,120,0,0,0,319,9,21,289,"1,055",5,74,976,621,313,40,268,63,34,7,22,314,183,26,105,377,217,33,127,244,96,7,141,180,22,93,115,65,889,32,0,32,857,715,29,0,29,686,174,3,3,171,245,12,114,6,131,6
CA-513,705,101,60,544,182,40,9,133,227,56,37,134,0,0,0,409,96,46,267,296,5,14,277,547,0,46,501,117,0,6,111,142,0,26,116,0,0,0,259,0,32,227,288,0,14,274,158,101,14,43,65,40,3,22,85,56,11,18,150,96,14,40,8,5,0,3,47,21,24,45,2,187,11,0,11,176,143,11,0,11,132,44,0,0,44,43,2,14,0,29,2
CA-514,3131,403,407,"2,321",184,43,14,127,388,159,68,161,22,2,20,594,202,84,308,"2,537",201,323,"2,013","2,421",7,354,"2,060",117,3,7,107,147,4,45,98,22,2,20,286,7,54,225,"2,135",0,300,"1,835",710,396,53,261,67,40,7,20,241,155,23,63,308,195,30,83,402,201,23,178,302,24,77,101,201,793,34,10,44,749,363,32,10,42,321,430,2,2,428,338,24,81,12,257,12
CA-515,908,127,72,709,196,40,7,149,189,64,19,106,0,0,0,385,104,26,255,523,23,46,454,689,0,58,631,130,0,4,126,81,0,8,73,0,0,0,211,0,12,199,478,0,46,432,219,127,14,78,66,40,3,23,108,64,11,33,174,104,14,56,45,23,0,22,77,20,41,61,16,222,39,0,39,183,202,35,0,35,167,20,4,4,16,92,10,32,4,60,6
CA-516,851,70,204,577,260,26,72,162,244,37,84,123,0,0,0,504,63,156,285,347,7,48,292,631,0,168,463,178,0,66,112,183,0,69,114,0,0,0,361,0,135,226,270,0,33,237,220,70,36,114,82,26,6,50,61,37,15,9,143,63,21,59,77,7,15,55,60,16,28,44,16,199,87,0,87,112,125,54,0,54,71,74,33,33,41,203,16,117,14,86,2
CA-517,245,46,21,178,119,22,3,94,58,23,18,17,0,0,0,177,45,21,111,68,1,0,67,168,1,9,158,84,0,0,84,16,0,9,7,0,0,0,100,0,9,91,68,1,0,67,77,45,12,20,35,22,3,10,42,23,9,10,77,45,12,20,0,0,0,0,26,11,15,26,0,81,46,0,46,35,64,37,0,37,27,17,9,9,8,19,1,9,0,10,1
CA-518,1329,103,156,"1,070",193,41,18,134,247,33,8,206,0,0,0,440,74,26,340,889,29,130,730,"1,163",7,155,"1,001",139,5,17,117,187,2,8,177,0,0,0,326,7,25,294,837,0,130,707,166,96,1,69,54,36,1,17,60,31,0,29,114,67,1,46,52,29,0,23,70,21,28,49,21,414,109,0,109,305,291,102,0,102,189,123,7,7,116,88,3,55,3,33,0
CA-519,712,77,74,561,179,20,18,141,110,47,11,52,0,0,0,289,67,29,193,423,10,45,368,599,4,66,529,150,0,17,133,36,0,4,32,0,0,0,186,0,21,165,413,4,45,364,113,73,8,32,29,20,1,8,74,47,7,20,103,67,8,28,10,6,0,4,34,9,21,30,4,312,48,0,48,264,312,48,0,48,264,0,0,0,0,101,7,46,5,55,2
CA-520,372,20,31,321,86,10,4,72,31,6,7,18,0,0,0,117,16,11,90,255,4,20,231,345,4,27,314,69,0,2,67,21,0,5,16,0,0,0,90,0,7,83,255,4,20,231,27,16,4,7,17,10,2,5,10,6,2,2,27,16,4,7,0,0,0,0,11,7,4,11,0,181,59,0,59,122,181,59,0,59,122,0,0,0,0,26,5,6,2,20,3
CA-521,474,84,36,354,107,23,10,74,169,61,13,95,0,0,0,276,84,23,169,198,0,13,185,345,0,32,313,74,0,9,65,73,0,10,63,0,0,0,147,0,19,128,198,0,13,185,129,84,4,41,33,23,1,9,96,61,3,32,129,84,4,41,0,0,0,0,36,9,27,36,0,134,37,0,37,97,134,37,0,37,97,0,0,0,0,44,3,24,2,20,1
CA-522,864,114,183,567,55,22,7,26,125,40,11,74,0,0,0,180,62,18,100,684,52,165,467,600,33,144,423,27,6,2,19,70,9,5,56,0,0,0,97,15,7,75,503,18,137,348,264,81,39,144,28,16,5,7,55,31,6,18,83,47,11,25,181,34,28,119,64,9,17,26,38,276,26,0,26,250,138,11,0,11,127,138,15,15,123,129,7,49,1,80,6
CA-523,696,118,54,524,183,48,7,128,89,26,4,59,0,0,0,272,74,11,187,424,44,43,337,487,1,38,448,103,0,2,101,48,0,2,46,0,0,0,151,0,4,147,336,1,34,301,209,117,16,76,80,48,5,27,41,26,2,13,121,74,7,40,88,43,9,36,65,25,14,39,26,303,85,0,85,218,252,53,0,53,199,51,32,32,19,67,2,25,0,42,2
CA-524,1485,473,58,954,344,90,58,196,762,226,0,536,0,0,0,"1,106",316,58,732,379,157,0,222,750,273,0,477,142,44,0,98,398,130,0,268,0,0,0,540,174,0,366,210,99,0,111,735,200,58,477,202,46,58,98,364,96,0,268,566,142,58,366,169,58,0,111,319,92,155,247,72,104,51,0,51,53,66,30,0,30,36,38,21,21,17,32,0,24,0,8,0
CA-525,180,26,17,137,27,8,0,19,104,16,13,75,0,0,0,131,24,13,94,49,2,4,43,141,4,13,124,21,4,0,17,75,0,9,66,0,0,0,96,4,9,83,45,0,4,41,39,22,4,13,6,4,0,2,29,16,4,9,35,20,4,11,4,2,0,2,17,2,13,15,2,55,17,0,17,38,47,11,0,11,36,8,6,6,2,6,2,5,2,1,0
CA-526,376,71,36,269,99,41,10,48,37,21,3,13,0,0,0,136,62,13,61,240,9,23,208,257,1,28,228,28,0,5,23,4,0,1,3,0,0,0,32,0,6,26,225,1,22,202,119,70,8,41,71,41,5,25,33,21,2,10,104,62,7,35,15,8,1,6,34,20,10,30,4,130,20,0,20,110,130,20,0,20,110,0,0,0,0,37,3,9,1,28,2
CA-600,35524,"4,667","4,428","26,429","6,468","1,511",511,"4,446","6,445","1,418","1,141","3,886",21,0,21,"12,934","2,929","1,652","8,353","22,590","1,738","2,776","18,076","28,846",817,"3,893","24,136","4,215",47,347,"3,821","4,091",54,846,"3,191",21,0,21,"8,327",101,"1,193","7,033","20,519",716,"2,700","17,103","6,678","3,850",535,"2,293","2,253","1,464",164,625,"2,354","1,364",295,695,"4,607","2,828",459,"1,320","2,071","1,022",76,973,"2,223",734,805,"1,539",684,"8,702","1,187",4,"1,191","7,511","7,475",819,4,823,"6,652","1,227",368,368,859,"4,007",227,"1,450",86,"2,557",141
CA-601,8879,"1,165",707,"7,007",947,167,41,739,"3,311",893,296,"2,122",47,0,47,"4,305","1,060",337,"2,908","4,574",105,370,"4,099","7,013",43,555,"6,415",679,10,28,641,"1,891",20,178,"1,693",47,0,47,"2,617",30,206,"2,381","4,396",13,349,"4,034","1,866","1,122",152,592,268,157,13,98,"1,420",873,118,429,"1,688","1,030",131,527,178,92,21,65,597,88,460,548,49,"2,531",206,28,234,"2,297","2,472",196,28,224,"2,248",59,10,10,49,"1,486",116,798,67,688,49
CA-602,4251,914,372,"2,965","1,145",310,85,750,"1,428",602,109,717,0,0,0,"2,573",912,194,"1,467","1,678",2,178,"1,498","2,712",14,259,"2,439",631,13,39,579,406,0,42,364,0,0,0,"1,037",13,81,943,"1,675",1,178,"1,496","1,539",900,113,526,514,297,46,171,"1,022",602,67,353,"1,536",899,113,524,3,1,0,2,523,169,353,522,1,829,156,0,156,673,797,129,0,129,668,32,27,27,5,446,22,177,11,269,11
CA-603,1882,259,110,"1,513",471,92,28,351,433,103,34,296,0,0,0,904,195,62,647,978,64,48,866,"1,464",5,82,"1,377",335,5,23,307,261,0,18,243,0,0,0,596,5,41,550,868,0,41,827,418,254,28,136,136,87,5,44,172,103,16,53,308,190,21,97,110,64,7,39,122,35,53,88,34,913,379,0,379,534,693,257,0,257,436,220,122,122,98,124,8,48,6,76,2
