CoC,Count,"Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
AK-500,1122,165,104,853,676,79,54,543,394,86,49,259,0,0,0,"1,070",165,103,802,52,0,1,51,844,2,79,763,553,2,47,504,239,0,31,208,0,0,0,792,2,78,712,52,0,1,51,278,163,25,90,123,77,7,39,155,86,18,51,278,163,25,90,0,0,0,0,87,38,49,87,0,89,68,0,68,21,83,62,0,62,21,6,6,6,0,144,4,138,4,6,0
AK-501,824,204,85,535,461,116,49,296,210,52,21,137,0,0,0,671,168,70,433,153,36,15,102,518,16,71,431,282,8,40,234,134,4,19,111,0,0,0,416,12,59,345,102,4,12,86,306,188,14,104,179,108,9,62,76,48,2,26,255,156,11,88,51,32,3,16,109,67,28,95,14,95,70,0,70,25,83,62,0,62,21,12,8,8,4,66,5,50,4,16,1
AL-500,1469,259,108,"1,102",373,59,38,276,556,141,21,394,31,1,30,960,200,60,700,509,59,48,402,"1,089",10,95,984,294,5,35,254,352,0,15,337,31,1,30,677,5,51,621,412,5,44,363,380,249,13,118,79,54,3,22,204,141,6,57,283,195,9,79,97,54,4,39,131,25,63,88,43,427,126,30,156,271,411,115,30,145,266,16,11,11,5,194,4,155,4,39,0
AL-501,493,92,25,376,153,34,5,114,107,54,10,43,0,0,0,260,88,15,157,233,4,10,219,343,0,20,323,99,0,4,95,23,0,7,16,0,0,0,122,0,11,111,221,0,9,212,150,92,5,53,54,34,1,19,84,54,3,27,138,88,4,46,12,4,1,7,51,18,28,46,5,91,10,0,10,81,89,8,0,8,81,2,2,2,0,41,2,5,0,36,2
AL-502,223,64,30,129,22,8,0,14,175,51,29,95,0,0,0,197,59,29,109,26,5,1,20,133,0,28,105,11,0,0,11,105,0,27,78,0,0,0,116,0,27,89,17,0,1,16,90,64,2,24,11,8,0,3,70,51,2,17,81,59,2,20,9,5,0,4,24,3,19,22,2,30,10,0,10,20,14,5,0,5,9,16,5,5,11,2,1,0,0,2,1
AL-503,586,85,35,466,320,38,13,269,89,36,12,41,0,0,0,409,74,25,310,177,11,10,156,457,0,28,429,262,0,11,251,33,0,8,25,0,0,0,295,0,19,276,162,0,9,153,129,85,7,37,58,38,2,18,56,36,4,16,114,74,6,34,15,11,1,3,41,20,17,37,4,120,46,0,46,74,114,44,0,44,70,6,2,2,4,77,6,33,1,44,5
AL-504,515,46,63,406,159,16,23,120,240,30,22,188,0,0,0,399,46,45,308,116,0,18,98,446,0,57,389,136,0,21,115,194,0,18,176,0,0,0,330,0,39,291,116,0,18,98,69,46,6,17,23,16,2,5,46,30,4,12,69,46,6,17,0,0,0,0,21,6,15,21,0,69,11,0,11,58,69,11,0,11,58,0,0,0,0,59,2,44,2,15,0
AL-505,399,10,59,330,159,10,22,127,170,0,20,150,0,0,0,329,10,42,277,70,0,17,53,275,4,27,244,66,4,3,59,165,0,20,145,0,0,0,231,4,23,204,44,0,4,40,124,6,32,86,93,6,19,68,5,0,0,5,98,6,19,73,26,0,13,13,61,46,2,48,13,40,20,0,20,20,20,10,0,10,10,20,10,10,10,31,2,26,1,5,1
AL-506,99,19,11,69,11,1,3,7,84,18,7,59,0,0,0,95,19,10,66,4,0,1,3,72,0,8,64,9,0,2,7,59,0,5,54,0,0,0,68,0,7,61,4,0,1,3,27,19,3,5,2,1,1,0,25,18,2,5,27,19,3,5,0,0,0,0,6,1,5,6,0,9,5,0,5,4,9,5,0,5,4,0,0,0,0,66,2,66,2,0,0
AL-507,905,119,175,611,358,49,61,248,239,20,36,183,0,0,0,597,69,97,431,308,50,78,180,572,66,105,401,174,28,22,124,199,0,30,169,0,0,0,373,28,52,293,199,38,53,108,333,53,70,210,184,21,39,124,40,20,6,14,224,41,45,138,109,12,25,72,160,87,20,107,53,72,37,0,37,35,42,21,0,21,21,30,16,16,14,41,6,34,6,7,0
