CoC,Count,"Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
GA-501,11168,"1,119","1,194",0,"2,313","8,855","7,989",92,548,0,163,0,0,711,0,"7,278",92,"3,179",571,"1,031","1,602","1,577","1,066",205,362,567,499,"1,761",145,0,145,"1,616","1,341",145,0,145,"1,196",420,0,0,420,758,49,709
GA-503,407,174,104,0,278,129,296,0,140,0,27,0,0,167,0,129,0,111,34,77,111,0,31,10,21,31,0,86,35,0,35,51,83,32,0,32,51,3,3,3,0,27,16,11
GA-504,497,165,327,0,492,5,291,0,146,0,143,0,0,289,0,2,0,206,19,184,203,3,55,9,45,54,1,82,80,0,80,2,82,80,0,80,2,0,0,0,0,69,69,0
GA-505,486,197,64,0,261,225,378,0,137,0,56,0,0,193,0,185,0,108,60,8,68,40,36,20,3,23,13,105,57,0,57,48,105,57,0,57,48,0,0,0,0,64,39,25
GA-506,370,76,245,0,321,49,188,0,51,0,91,0,0,142,0,46,0,182,25,154,179,3,60,11,48,59,1,37,7,0,7,30,37,7,0,7,30,0,0,0,0,40,20,20
GA-507,1242,325,306,0,631,611,"1,101",11,256,11,234,0,0,490,11,611,0,141,69,72,141,0,48,21,27,48,0,138,43,0,43,95,138,43,0,43,95,0,0,0,0,48,29,19
GU-500,1745,67,137,0,204,"1,541",279,0,10,0,26,0,0,36,0,243,0,"1,466",57,111,168,"1,298",250,14,25,39,211,370,0,0,0,370,25,0,0,0,25,345,0,0,345,33,7,26
HI-500,1954,279,441,0,720,"1,234","1,196",4,119,0,104,0,0,223,0,973,4,758,160,337,497,261,217,45,91,136,81,366,40,0,40,326,348,36,0,36,312,18,4,4,14,173,25,148
HI-501,4234,797,"2,090",25,"2,912","1,322","1,999",3,408,3,421,0,25,854,3,"1,145",0,"2,235",389,"1,669","2,058",177,558,105,409,514,44,569,57,19,76,493,556,56,19,75,481,13,1,1,12,332,185,147
IA-500,366,160,177,0,337,29,167,0,105,0,44,0,0,149,0,18,0,199,55,133,188,11,66,16,45,61,5,106,91,0,91,15,88,73,0,73,15,18,18,18,0,25,21,4
IA-501,1782,667,"1,087",0,"1,754",28,777,25,423,9,326,16,0,749,25,28,0,"1,005",244,761,"1,005",0,318,80,238,318,0,114,103,0,103,11,104,93,0,93,11,10,10,10,0,121,116,5
IA-502,986,352,570,0,922,64,684,16,237,13,383,3,0,620,16,64,0,302,115,187,302,0,88,34,54,88,0,131,90,0,90,41,123,82,0,82,41,8,8,8,0,121,118,3
ID-500,838,483,258,0,741,97,630,6,377,5,158,0,0,535,5,95,1,208,106,100,206,2,76,37,38,75,1,139,114,0,114,25,125,104,0,104,21,14,10,10,4,135,120,15
ID-501,1361,314,530,0,844,517,680,1,171,0,135,0,0,306,0,374,1,681,143,395,538,143,221,55,126,181,40,169,35,0,35,134,111,25,0,25,86,58,10,10,48,115,49,66
IL-500,182,57,122,0,179,3,113,0,53,0,57,0,0,110,0,3,0,69,4,65,69,0,25,2,23,25,0,33,33,0,33,0,33,33,0,33,0,0,0,0,0,51,51,0
IL-501,740,246,322,0,568,172,418,20,143,0,174,19,0,317,19,101,1,322,103,148,251,71,109,31,53,84,25,247,195,0,195,52,247,195,0,195,52,0,0,0,0,71,65,6
IL-502,464,324,128,9,461,3,269,0,221,0,36,0,9,266,0,3,0,195,103,92,195,0,78,39,39,78,0,64,55,9,64,0,59,50,9,59,0,5,5,5,0,60,60,0
IL-503,231,5,200,0,205,26,87,5,5,4,65,1,0,70,5,17,0,144,0,135,135,9,69,0,65,65,4,52,29,0,29,23,46,29,0,29,17,6,0,0,6,23,23,0
IL-504,256,100,107,0,207,49,98,0,53,0,3,0,0,56,0,42,0,158,47,104,151,7,47,13,32,45,2,19,2,0,2,17,14,2,0,2,12,5,0,0,5,6,3,3
IL-506,353,130,190,0,320,33,191,0,96,0,62,0,0,158,0,33,0,162,34,128,162,0,54,10,44,54,0,46,34,0,34,12,38,26,0,26,12,8,8,8,0,20,18,2
IL-507,313,194,110,0,304,9,194,1,127,1,61,0,0,188,1,6,0,119,67,49,116,3,40,24,15,39,1,74,73,0,73,1,74,73,0,73,1,0,0,0,0,26,25,1
IL-508,370,80,105,0,185,185,176,0,17,0,37,0,0,54,0,122,0,194,63,68,131,63,69,22,24,46,23,124,63,0,63,61,64,37,0,37,27,60,26,26,34,31,18,13
IL-510,6635,"2,022","2,851",40,"4,913","1,722","4,261",36,"1,565",1,995,8,40,"2,600",9,"1,661",27,"2,374",457,"1,856","2,313",61,766,152,584,736,30,"1,155",393,39,432,723,"1,149",393,39,432,717,6,0,0,6,500,250,250
IL-511,1257,413,596,15,"1,024",233,722,131,331,10,150,37,15,496,47,226,84,535,82,446,528,7,174,28,144,172,2,228,101,15,116,112,228,101,15,116,112,0,0,0,0,118,91,27
IL-512,635,260,137,22,419,216,388,31,214,0,63,31,22,299,31,89,0,247,46,74,120,127,86,17,30,47,39,75,55,9,64,11,74,54,9,63,11,1,1,1,0,53,53,0
IL-513,227,127,100,0,227,0,137,0,113,0,24,0,0,137,0,0,0,90,14,76,90,0,26,4,22,26,0,70,70,0,70,0,50,50,0,50,0,20,20,20,0,19,19,0
IL-514,676,221,422,0,643,33,304,5,163,5,111,0,0,274,5,30,0,372,58,311,369,3,125,20,104,124,1,147,132,0,132,15,122,110,0,110,12,25,22,22,3,18,17,1
IL-515,160,44,116,0,160,0,24,0,17,0,7,0,0,24,0,0,0,136,27,109,136,0,55,10,45,55,0,10,10,0,10,0,10,10,0,10,0,0,0,0,0,1,1,0
IL-516,206,72,87,6,165,41,106,1,59,1,16,0,6,81,1,25,0,100,13,71,84,16,34,6,24,30,4,41,15,6,21,20,28,15,6,21,7,13,0,0,13,18,15,3
IL-517,444,280,121,0,401,43,327,0,227,0,64,0,0,291,0,36,0,117,53,57,110,7,38,18,17,35,3,110,101,0,101,9,104,95,0,95,9,6,6,6,0,29,25,4
IL-518,313,150,135,0,285,28,149,2,97,0,38,2,0,135,2,14,0,164,53,97,150,14,54,18,32,50,4,30,29,0,29,1,28,27,0,27,1,2,2,2,0,18,18,0
IL-519,160,37,100,0,137,23,44,0,25,0,13,0,0,38,0,6,0,116,12,87,99,17,37,4,28,32,5,15,9,0,9,6,15,9,0,9,6,0,0,0,0,4,2,2
IL-520,387,195,91,0,286,101,165,0,65,0,33,0,0,98,0,67,0,222,130,58,188,34,71,43,18,61,10,23,6,0,6,17,17,6,0,6,11,6,0,0,6,15,11,4
IN-502,4609,"2,028","2,049",0,"4,077",532,"2,596",29,"1,293",16,884,11,0,"2,177",27,419,2,"2,013",735,"1,165","1,900",113,637,240,358,598,39,434,305,0,305,129,434,305,0,305,129,0,0,0,0,452,394,58
IN-503,1587,706,746,21,"1,473",114,"1,193",0,483,0,575,0,21,"1,079",0,114,0,394,223,171,394,0,121,70,51,121,0,168,120,0,120,48,168,120,0,120,48,0,0,0,0,262,244,18
KS-502,634,419,93,14,526,108,454,0,306,0,31,0,14,351,0,103,0,180,113,62,175,5,52,31,19,50,2,141,84,7,91,50,128,78,7,85,43,13,6,6,7,68,47,21
KS-503,336,259,56,0,315,21,191,0,147,0,27,0,0,174,0,17,0,145,112,29,141,4,40,29,9,38,2,101,95,0,95,6,69,65,0,65,4,32,30,30,2,43,41,2
KS-505,315,169,78,0,247,68,55,3,22,2,10,0,0,32,2,23,1,260,147,68,215,45,75,43,21,64,11,4,3,0,3,1,2,1,0,1,1,2,2,2,0,6,4,2
KS-507,1023,473,489,0,962,61,596,0,253,0,292,0,0,545,0,51,0,427,220,197,417,10,140,77,59,136,4,70,55,0,55,15,59,46,0,46,13,11,9,9,2,214,202,12
KY-500,2834,"1,133","1,000",0,"2,133",701,"1,496",37,664,31,304,6,0,968,37,528,0,"1,338",469,696,"1,165",173,403,147,205,352,51,310,182,0,182,128,211,139,0,139,72,99,43,43,56,160,117,43
KY-501,1628,886,640,10,"1,536",92,"1,242",20,747,20,397,0,10,"1,154",20,88,0,386,139,243,382,4,134,49,84,133,1,261,198,3,201,60,258,195,3,198,60,3,3,3,0,314,303,11
KY-502,1572,477,"1,035",2,"1,514",58,"1,104",22,384,6,662,16,2,"1,048",22,56,0,468,93,373,466,2,194,27,166,193,1,213,192,2,194,19,190,169,2,171,19,23,23,23,0,162,159,3
LA-500,577,197,288,0,485,92,383,7,144,1,147,6,0,291,7,92,0,194,53,141,194,0,67,18,49,67,0,35,14,0,14,21,35,14,0,14,21,0,0,0,0,39,34,5
LA-502,733,111,458,8,577,156,471,3,75,0,232,3,8,315,3,156,0,262,36,226,262,0,81,11,70,81,0,94,14,0,14,80,94,14,0,14,80,0,0,0,0,162,122,40
LA-503,6687,575,723,15,"1,313","5,374","6,125",21,471,12,363,9,15,849,21,"5,276",0,562,104,360,464,98,204,30,142,172,32,"4,087",23,0,23,"4,064","4,010",20,0,20,"3,990",77,3,3,74,515,95,420
LA-505,227,55,134,8,197,30,116,3,38,3,40,0,8,86,3,30,0,111,17,94,111,0,38,6,32,38,0,30,17,7,24,6,30,17,7,24,6,0,0,0,0,12,8,4
LA-506,281,105,136,0,241,40,175,0,81,0,74,0,0,155,0,20,0,106,24,62,86,20,33,8,20,28,5,29,23,0,23,6,29,23,0,23,6,0,0,0,0,58,54,4
LA-507,208,78,95,0,173,35,162,0,45,0,82,0,0,127,0,35,0,46,33,13,46,0,18,14,4,18,0,27,11,0,11,16,27,11,0,11,16,0,0,0,0,21,9,12
LA-509,578,102,299,18,419,159,509,7,93,3,263,2,18,374,5,135,2,69,9,36,45,24,28,4,16,20,8,131,52,4,56,75,127,48,4,52,75,4,4,4,0,143,121,22
MA-500,5476,"3,898","1,390",6,"5,294",182,"2,550",13,"1,380",0,982,0,6,"2,368",0,182,13,"2,926","2,518",408,"2,926",0,987,813,174,987,0,618,534,0,534,84,501,417,0,417,84,117,117,117,0,426,404,22
MA-501,1541,"1,084",414,6,"1,504",37,487,0,130,0,314,0,6,450,0,37,0,"1,054",954,100,"1,054",0,372,336,36,372,0,134,97,6,103,31,83,46,6,52,31,51,51,51,0,191,189,2
MA-502,531,386,116,0,502,29,151,8,75,1,47,0,0,122,1,29,7,380,311,69,380,0,135,103,32,135,0,149,140,0,140,9,149,140,0,140,9,0,0,0,0,15,15,0
MA-503,480,264,89,0,353,127,269,6,89,0,79,0,0,168,0,101,6,211,175,10,185,26,80,67,5,72,8,111,49,0,49,62,105,43,0,43,62,6,6,6,0,42,35,7
MA-504,1025,773,241,6,"1,020",5,291,11,216,5,64,6,6,286,11,5,0,734,557,177,734,0,248,166,82,248,0,184,174,6,180,4,110,100,6,106,4,74,74,74,0,30,27,3
MA-505,351,110,232,0,342,9,257,0,38,0,210,0,0,248,0,9,0,94,72,22,94,0,36,28,8,36,0,12,9,0,9,3,7,4,0,4,3,5,5,5,0,50,50,0
MA-506,1315,786,467,11,"1,264",51,396,27,129,22,208,4,11,348,26,48,1,919,657,259,916,3,309,217,91,308,1,34,12,0,12,22,22,3,0,3,19,12,9,9,3,132,126,6
MA-507,192,42,128,0,170,22,151,0,11,0,120,0,0,131,0,20,0,41,31,8,39,2,16,12,3,15,1,54,47,0,47,7,54,47,0,47,7,0,0,0,0,70,70,0
MA-508,589,312,234,0,546,43,209,0,25,0,141,0,0,166,0,43,0,380,287,93,380,0,124,87,37,124,0,35,22,0,22,13,17,4,0,4,13,18,18,18,0,74,72,2
MA-509,471,275,144,0,419,52,346,0,214,0,80,0,0,294,0,52,0,125,61,64,125,0,44,24,20,44,0,170,124,0,124,46,170,124,0,124,46,0,0,0,0,41,36,5
MA-510,886,736,102,10,848,38,254,0,173,0,33,0,10,216,0,38,0,632,563,69,632,0,202,175,27,202,0,151,120,10,130,21,141,110,10,120,21,10,10,10,0,74,73,1
MA-511,1468,"1,315",135,0,"1,450",18,400,0,331,0,51,0,0,382,0,18,0,"1,068",984,84,"1,068",0,365,331,34,365,0,197,183,0,183,14,132,118,0,118,14,65,65,65,0,96,95,1
MA-515,288,169,108,0,277,11,100,0,40,0,49,0,0,89,0,11,0,188,129,59,188,0,41,24,17,41,0,45,38,0,38,7,45,38,0,38,7,0,0,0,0,6,3,3
MA-516,1690,"1,219",432,0,"1,651",39,328,0,180,0,109,0,0,289,0,39,0,"1,362","1,039",323,"1,362",0,493,365,128,493,0,122,109,0,109,13,85,72,0,72,13,37,37,37,0,15,13,2
MA-517,137,98,34,0,132,5,80,0,50,0,25,0,0,75,0,5,0,57,48,9,57,0,22,19,3,22,0,28,23,0,23,5,28,23,0,23,5,0,0,0,0,1,1,0
MA-519,224,122,67,0,189,35,75,3,21,0,19,0,0,40,0,35,3,149,101,48,149,0,57,36,21,57,0,17,8,0,8,9,17,8,0,8,9,0,0,0,0,5,1,4
MD-500,123,57,28,0,85,38,64,0,39,0,7,0,0,46,0,18,0,59,18,21,39,20,20,7,7,14,6,22,10,0,10,12,22,10,0,10,12,0,0,0,0,9,6,3
MD-501,4094,"1,095","1,204",0,"2,299","1,795","3,160",0,887,0,891,0,0,"1,778",0,"1,382",0,934,208,313,521,413,323,63,103,166,157,519,211,0,211,308,519,211,0,211,308,0,0,0,0,342,316,26
MD-502,243,104,114,7,225,18,122,0,46,0,51,0,7,104,0,18,0,121,58,63,121,0,34,17,17,34,0,36,28,0,28,8,31,23,0,23,8,5,5,5,0,9,9,0
MD-503,382,230,82,0,312,70,229,0,149,0,10,0,0,159,0,70,0,153,81,72,153,0,52,31,21,52,0,53,29,0,29,24,51,27,0,27,24,2,2,2,0,27,21,6
MD-504,189,44,89,0,133,56,94,0,18,0,20,0,0,38,0,56,0,95,26,69,95,0,30,9,21,30,0,52,8,0,8,44,48,8,0,8,40,4,0,0,4,12,6,6
MD-505,881,408,86,0,494,387,472,0,173,0,12,0,0,185,0,287,0,409,235,74,309,100,132,76,25,101,31,191,102,0,102,89,145,62,0,62,83,46,40,40,6,70,26,44
MD-506,179,86,50,21,157,22,112,0,58,0,11,0,21,90,0,22,0,67,28,39,67,0,24,10,14,24,0,25,17,5,22,3,22,14,5,19,3,3,3,3,0,6,6,0
MD-507,220,61,135,0,196,24,166,0,55,0,100,0,0,155,0,11,0,54,6,35,41,13,18,2,13,15,3,28,23,0,23,5,28,23,0,23,5,0,0,0,0,101,100,1
MD-508,1153,226,122,0,348,805,256,0,129,0,34,0,0,163,0,93,0,897,97,88,185,712,362,38,29,67,295,200,82,0,82,118,111,54,0,54,57,89,28,28,61,9,3,6
MD-509,248,73,131,0,204,44,137,0,65,0,28,0,0,93,0,44,0,111,8,103,111,0,38,2,36,38,0,88,49,0,49,39,88,49,0,49,39,0,0,0,0,7,5,2
MD-510,35,16,17,0,33,2,35,0,16,0,17,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,85,43,33,0,76,9,54,0,38,0,10,0,0,48,0,6,0,31,5,23,28,3,10,2,7,9,1,12,12,0,12,0,12,12,0,12,0,0,0,0,0,1,1,0
MD-512,210,127,7,0,134,76,87,0,59,0,7,0,0,66,0,21,0,123,68,0,68,55,36,20,0,20,16,42,33,0,33,9,28,26,0,26,2,14,7,7,7,14,11,3
MD-513,253,179,36,0,215,38,179,8,132,6,9,2,0,141,8,38,0,74,47,27,74,0,25,15,10,25,0,44,22,0,22,22,44,22,0,22,22,0,0,0,0,33,26,7
MD-600,772,311,359,0,670,102,428,0,173,0,153,0,0,326,0,102,0,344,138,206,344,0,106,42,64,106,0,140,68,0,68,72,134,62,0,62,72,6,6,6,0,15,14,1
MD-601,1141,546,338,31,915,226,758,0,392,0,109,0,31,532,0,226,0,383,154,229,383,0,128,55,73,128,0,348,168,31,199,149,344,164,31,195,149,4,4,4,0,41,27,14
ME-500,2447,904,"1,499",15,"2,418",29,"1,184",29,611,19,531,10,15,"1,157",29,27,0,"1,263",293,968,"1,261",2,427,101,325,426,1,212,187,15,202,10,212,187,15,202,10,0,0,0,0,127,121,6
MI-500,2499,837,"1,243",0,"2,080",419,"1,052",50,437,17,332,27,0,769,44,283,6,"1,447",400,911,"1,311",136,447,128,276,404,43,117,85,0,85,32,102,70,0,70,32,15,15,15,0,63,40,23
MI-501,3138,"1,646","1,119",20,"2,785",353,"2,401",48,"1,219",4,809,44,20,"2,048",48,353,0,737,427,310,737,0,265,148,117,265,0,684,557,20,577,107,649,522,20,542,107,35,35,35,0,385,352,33
MI-502,482,130,320,13,463,19,132,5,50,2,54,3,13,117,5,15,0,350,80,266,346,4,101,27,72,99,2,16,12,0,12,4,16,12,0,12,4,0,0,0,0,29,28,1
MI-503,656,249,101,0,350,306,492,6,156,5,54,1,0,210,6,282,0,164,93,47,140,24,69,40,17,57,12,146,72,0,72,74,139,66,0,66,73,7,6,6,1,23,15,8
MI-504,713,193,283,0,476,237,519,6,167,5,123,1,0,290,6,229,0,194,26,160,186,8,65,10,52,62,3,29,24,0,24,5,29,24,0,24,5,0,0,0,0,9,9,0
MI-505,490,231,98,0,329,161,352,3,152,3,45,0,0,197,3,155,0,138,79,53,132,6,54,34,17,51,3,124,57,0,57,67,117,50,0,50,67,7,7,7,0,74,25,49
MI-506,627,284,327,0,611,16,269,12,205,12,48,0,0,253,12,16,0,358,79,279,358,0,140,31,109,140,0,83,67,0,67,16,76,60,0,60,16,7,7,7,0,36,36,0
MI-507,822,354,414,0,768,54,343,1,196,1,102,0,0,298,1,45,0,479,158,312,470,9,136,42,91,133,3,53,47,0,47,6,53,47,0,47,6,0,0,0,0,26,24,2
MI-508,444,282,92,0,374,70,347,5,208,3,81,2,0,289,5,58,0,97,74,11,85,12,30,21,4,25,5,102,86,0,86,16,91,75,0,75,16,11,11,11,0,78,72,6
MI-509,469,241,185,0,426,43,304,9,172,4,89,5,0,261,9,43,0,165,69,96,165,0,51,23,28,51,0,73,36,0,36,37,57,20,0,20,37,16,16,16,0,50,35,15
MI-510,390,138,172,3,313,77,243,6,75,3,88,3,3,166,6,77,0,147,63,84,147,0,47,18,29,47,0,57,40,3,43,14,53,36,3,39,14,4,4,4,0,28,20,8
MI-511,166,75,77,0,152,14,67,2,32,0,33,2,0,65,2,2,0,99,43,44,87,12,29,12,15,27,2,24,24,0,24,0,21,21,0,21,0,3,3,3,0,8,8,0
MI-512,234,119,94,0,213,21,128,16,86,3,21,13,0,107,16,21,0,106,33,73,106,0,39,15,24,39,0,42,36,0,36,6,42,36,0,36,6,0,0,0,0,17,17,0
MI-513,102,56,42,0,98,4,84,0,49,0,31,0,0,80,0,4,0,18,7,11,18,0,7,3,4,7,0,10,8,0,8,2,10,8,0,8,2,0,0,0,0,25,24,1
MI-514,192,69,67,0,136,56,144,0,37,0,53,0,0,90,0,54,0,48,32,14,46,2,18,12,5,17,1,50,32,0,32,18,44,28,0,28,16,6,4,4,2,38,12,26
MI-515,121,79,38,0,117,4,81,0,39,0,38,0,0,77,0,4,0,40,40,0,40,0,13,13,0,13,0,11,7,0,7,4,11,7,0,7,4,0,0,0,0,5,5,0
MI-516,691,114,345,0,459,232,345,32,56,0,146,6,0,202,6,143,26,346,58,199,257,89,121,28,65,93,28,56,11,0,11,45,20,5,0,5,15,36,6,6,30,27,19,8
MI-517,246,95,95,0,190,56,123,1,58,1,9,0,0,67,1,56,0,123,37,86,123,0,48,10,38,48,0,31,2,0,2,29,31,2,0,2,29,0,0,0,0,27,7,20
MI-518,135,39,25,0,64,71,65,13,14,3,5,3,0,19,6,46,7,70,25,20,45,25,24,8,7,15,9,23,8,0,8,15,20,6,0,6,14,3,2,2,1,2,1,1
MI-519,343,120,220,0,340,3,101,0,68,0,30,0,0,98,0,3,0,242,52,190,242,0,65,14,51,65,0,23,23,0,23,0,23,23,0,23,0,0,0,0,0,6,6,0
MI-523,225,61,59,0,120,105,42,0,16,0,2,0,0,18,0,24,0,183,45,57,102,81,56,10,21,31,25,10,1,0,1,9,7,1,0,1,6,3,0,0,3,3,0,3
MN-500,3100,"1,981",950,0,"2,931",169,"1,528",59,986,4,389,54,0,"1,375",58,153,1,"1,572",995,561,"1,556",16,467,263,199,462,5,919,883,0,883,36,566,531,0,531,35,353,352,352,1,177,169,8
MN-501,1439,574,738,10,"1,322",117,634,33,344,6,187,21,10,541,27,93,6,805,230,551,781,24,263,63,193,256,7,380,300,10,310,70,283,209,10,219,64,97,91,91,6,73,59,14
MN-502,361,210,146,0,356,5,112,2,98,2,13,0,0,111,2,1,0,249,112,133,245,4,68,30,37,67,1,73,73,0,73,0,52,52,0,52,0,21,21,21,0,15,15,0
MN-503,696,217,401,0,618,78,193,0,56,0,83,0,0,139,0,54,0,503,161,318,479,24,162,43,111,154,8,82,49,0,49,33,33,14,0,14,19,49,35,35,14,42,37,5
MN-504,174,27,64,0,91,83,66,0,17,0,8,0,0,25,0,41,0,108,10,56,66,42,35,4,14,18,17,50,17,0,17,33,20,4,0,4,16,30,13,13,17,15,8,7
MN-505,599,166,236,0,402,197,390,74,87,15,146,44,0,233,59,157,15,209,79,90,169,40,68,26,30,56,12,159,87,0,87,72,106,67,0,67,39,53,20,20,33,85,61,24
MN-506,252,82,129,4,215,37,87,5,49,3,22,2,4,75,5,12,0,165,33,107,140,25,51,8,35,43,8,31,17,4,21,10,22,17,4,21,1,9,0,0,9,6,5,1
MN-508,263,78,77,0,155,108,116,17,47,2,8,2,0,55,4,61,13,147,31,69,100,47,44,10,20,30,14,85,56,0,56,29,57,36,0,36,21,28,20,20,8,10,7,3
MN-509,494,129,241,0,370,124,245,13,81,11,54,1,0,135,12,110,1,249,48,187,235,14,84,17,63,80,4,83,22,0,22,61,72,11,0,11,61,11,11,11,0,18,6,12
MN-511,117,40,67,0,107,10,39,0,18,0,11,0,0,29,0,10,0,78,22,56,78,0,23,9,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4
MO-500,657,328,224,0,552,105,248,6,133,3,55,3,0,188,6,60,0,409,195,169,364,45,131,62,53,115,16,44,37,0,37,7,44,37,0,37,7,0,0,0,0,64,62,2
MO-501,1344,601,599,15,"1,215",129,796,7,354,2,304,5,15,673,7,123,0,548,247,295,542,6,190,87,100,187,3,187,136,12,148,39,168,119,12,131,37,19,17,17,2,124,99,25
MO-503,1003,303,323,0,626,377,419,8,78,5,156,3,0,234,8,185,0,584,225,167,392,192,201,66,64,130,71,25,10,0,10,15,21,6,0,6,15,4,4,4,0,9,5,4
MO-600,591,172,292,0,464,127,333,3,89,0,128,2,0,217,2,116,1,258,83,164,247,11,96,36,56,92,4,82,22,0,22,60,82,22,0,22,60,0,0,0,0,30,10,20
MO-602,457,119,222,0,341,116,336,1,84,1,136,0,0,220,1,116,0,121,35,86,121,0,37,12,25,37,0,27,21,0,21,6,27,21,0,21,6,0,0,0,0,77,70,7
MO-603,181,123,15,18,156,25,125,0,67,0,15,0,18,100,0,25,0,56,56,0,56,0,17,17,0,17,0,102,66,18,84,18,96,60,18,78,18,6,6,6,0,43,38,5
MO-604a,2992,970,"1,043",7,"2,020",972,"1,370",69,566,45,272,24,7,845,69,525,0,"1,622",404,771,"1,175",447,428,114,178,292,136,619,320,7,327,292,395,218,7,225,170,224,102,102,122,368,234,134
MO-606,1967,935,573,8,"1,516",451,"1,159",32,487,29,389,3,8,884,32,275,0,808,448,184,632,176,251,152,58,210,41,354,280,8,288,66,345,272,8,280,65,9,8,8,1,190,157,33
MS-500,826,80,310,0,390,436,821,11,75,0,310,11,0,385,11,436,0,5,5,0,5,0,1,1,0,1,0,191,34,0,34,157,191,34,0,34,157,0,0,0,0,93,54,39
MS-501,951,260,250,2,512,439,532,6,151,6,84,0,2,237,6,295,0,419,109,166,275,144,124,33,47,80,44,199,92,1,93,106,166,83,1,84,82,33,9,9,24,57,37,20
MS-503,529,89,65,0,154,375,472,35,47,26,65,0,0,112,26,360,9,57,42,0,42,15,16,12,0,12,4,81,8,0,8,73,81,8,0,8,73,0,0,0,0,55,23,32
MT-500,1768,708,508,0,"1,216",552,"1,094",29,387,16,249,10,0,636,26,458,3,674,321,259,580,94,222,99,93,192,30,324,149,0,149,175,203,76,0,76,127,121,73,73,48,251,135,116
NC-500,527,309,167,0,476,51,399,11,270,0,78,11,0,348,11,51,0,128,39,89,128,0,47,18,29,47,0,140,123,0,123,17,140,123,0,123,17,0,0,0,0,47,37,10
NC-501,514,187,265,0,452,62,453,10,170,6,221,4,0,391,10,62,0,61,17,44,61,0,24,7,17,24,0,81,42,0,42,39,75,36,0,36,39,6,6,6,0,209,200,9
NC-502,597,263,276,0,539,58,464,0,221,0,185,0,0,406,0,58,0,133,42,91,133,0,44,13,31,44,0,118,80,0,80,38,102,64,0,64,38,16,16,16,0,106,93,13
NC-503,2987,"1,427",879,0,"2,306",681,"1,915",4,860,3,504,1,0,"1,364",4,551,0,"1,072",567,375,942,130,347,188,122,310,37,312,138,0,138,174,257,112,0,112,145,55,26,26,29,242,150,92
NC-504,1024,460,440,0,900,124,748,23,369,9,260,12,0,629,21,119,2,276,91,180,271,5,91,27,62,89,2,108,96,0,96,12,107,95,0,95,12,1,1,1,0,81,60,21
NC-505,2847,"1,248","1,284",0,"2,532",315,"1,966",14,934,8,717,6,0,"1,651",14,315,0,881,314,567,881,0,293,94,199,293,0,307,239,0,239,68,298,230,0,230,68,9,9,9,0,248,242,6
NC-506,483,286,106,0,392,91,252,11,114,11,65,0,0,179,11,73,0,231,172,41,213,18,84,62,14,76,8,73,45,0,45,28,68,42,0,42,26,5,3,3,2,42,31,11
NC-507,1150,633,365,0,998,152,872,3,451,3,269,0,0,720,3,152,0,278,182,96,278,0,90,58,32,90,0,149,91,0,91,58,149,91,0,91,58,0,0,0,0,91,81,10
NC-509,378,92,39,0,131,247,338,4,67,4,39,0,0,106,4,232,0,40,25,0,25,15,15,11,0,11,4,78,4,0,4,74,75,1,0,1,74,3,3,3,0,6,1,5
NC-511,1061,92,193,0,285,776,568,22,74,0,18,0,0,92,0,476,22,493,18,175,193,300,120,6,39,45,75,54,27,0,27,27,38,20,0,20,18,16,7,7,9,130,34,96
NC-513,136,77,26,0,103,33,110,0,77,0,0,0,0,77,0,33,0,26,0,26,26,0,9,0,9,9,0,50,28,0,28,22,50,28,0,28,22,0,0,0,0,10,6,4
