CoC,Count,"Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
AK-500,1147,704,393,0,"1,097",50,791,3,561,3,195,0,0,756,3,35,0,356,143,198,341,15,126,41,81,122,4,114,109,0,109,5,113,108,0,108,5,1,1,1,0,174,167,7
AK-501,766,435,184,0,619,147,507,30,288,24,113,4,0,401,28,106,2,259,147,71,218,41,90,51,21,72,18,165,154,0,154,11,160,149,0,149,11,5,5,5,0,82,60,22
AL-500,1707,347,630,32,"1,009",698,"1,222",25,277,5,364,0,32,673,5,549,20,485,70,266,336,149,191,28,92,120,71,495,108,32,140,355,484,105,32,137,347,11,3,3,8,175,117,58
AL-501,634,212,112,0,324,310,422,0,130,0,25,0,0,155,0,267,0,212,82,87,169,43,62,23,29,52,10,75,17,0,17,58,75,17,0,17,58,0,0,0,0,52,12,40
AL-502,192,18,170,0,188,4,162,0,7,0,151,0,0,158,0,4,0,30,11,19,30,0,10,3,7,10,0,3,3,0,3,0,3,3,0,3,0,0,0,0,0,7,7,0
AL-503,607,336,96,0,432,175,448,7,277,4,33,3,0,310,7,138,0,159,59,63,122,37,57,23,21,44,13,185,105,0,105,80,176,96,0,96,80,9,9,9,0,42,32,10
AL-504,487,96,247,0,343,144,383,0,84,0,164,0,0,248,0,135,0,104,12,83,95,9,33,4,26,30,3,82,15,0,15,67,76,15,0,15,61,6,0,0,6,67,40,27
AL-505,544,211,213,0,424,120,451,13,177,11,205,0,0,382,11,69,2,93,34,8,42,51,30,13,2,15,15,44,16,0,16,28,17,8,0,8,9,27,8,8,19,13,12,1
AL-506,152,12,116,0,128,24,99,4,12,0,63,0,0,75,0,24,4,53,0,53,53,0,21,0,21,21,0,39,31,0,31,8,35,31,0,31,4,4,0,0,4,114,114,0
AL-507,886,431,385,0,816,70,638,0,194,0,378,0,0,572,0,66,0,248,237,7,244,4,93,88,3,91,2,46,26,0,26,20,44,24,0,24,20,2,2,2,0,56,43,13
AR-500,1249,329,433,0,762,487,"1,065",6,285,5,293,1,0,578,6,487,0,184,44,140,184,0,42,13,29,42,0,123,76,0,76,47,119,72,0,72,47,4,4,4,0,266,156,110
AR-501,186,54,93,0,147,39,109,0,34,0,44,0,0,78,0,31,0,77,20,49,69,8,31,8,20,28,3,60,24,0,24,36,35,17,0,17,18,25,7,7,18,30,24,6
AR-503,1930,399,163,0,562,"1,368","1,788",66,341,55,120,11,0,461,66,"1,327",0,142,58,43,101,41,58,21,20,41,17,171,49,0,49,122,136,43,0,43,93,35,6,6,29,60,23,37
AR-504,785,40,27,0,67,718,423,0,4,0,27,0,0,31,0,392,0,362,36,0,36,326,130,18,0,18,112,83,22,0,22,61,71,10,0,10,61,12,12,12,0,6,2,4
AR-505,64,64,0,0,64,0,43,8,43,8,0,0,0,43,8,0,0,21,21,0,21,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ-500,2451,"1,186",536,0,"1,722",729,"1,381",19,868,6,217,12,0,"1,085",18,296,1,"1,070",318,319,637,433,334,144,88,232,102,545,278,0,278,267,307,86,0,86,221,238,192,192,46,273,160,113
AZ-501,2366,762,980,15,"1,757",609,"1,508",31,562,14,444,3,15,"1,021",17,487,14,858,200,536,736,122,256,64,159,223,33,395,162,9,171,224,366,151,9,160,206,29,11,11,18,353,242,111
AZ-502,6485,"2,343","2,368",25,"4,736","1,749","3,421",79,"1,077",10,578,6,25,"1,680",16,"1,741",63,"3,064","1,266","1,790","3,056",8,875,361,511,872,3,955,141,25,166,789,932,118,25,143,789,23,23,23,0,852,605,247
CA-500,7053,926,949,9,"1,884","5,169","6,270",152,780,7,368,0,9,"1,157",7,"5,113",145,783,146,581,727,56,262,50,194,244,18,"2,657",318,9,327,"2,330","2,617",313,9,322,"2,295",40,5,5,35,667,152,515
CA-501,5895,"1,757",742,25,"2,524","3,371","5,177",35,"1,447",10,429,0,25,"1,901",10,"3,276",25,718,310,313,623,95,268,109,119,228,40,"1,899",772,17,789,"1,110","1,818",691,17,708,"1,110",81,81,81,0,774,344,430
CA-502,4257,866,"1,179",0,"2,045","2,212","3,208",0,546,0,590,0,0,"1,136",0,"2,072",0,"1,049",320,589,909,140,332,111,197,308,24,"1,092",108,0,108,984,"1,041",99,0,99,942,51,9,9,42,440,95,345
CA-503,2812,839,"1,018",0,"1,857",955,"1,985",25,477,5,558,0,0,"1,035",5,950,20,827,362,460,822,5,237,90,145,235,2,463,221,0,221,242,454,212,0,212,242,9,9,9,0,329,148,181
CA-504,4483,530,587,0,"1,117","3,366","3,890",260,362,0,202,0,0,564,0,"3,326",260,593,168,385,553,40,186,49,125,174,12,"1,032",77,0,77,955,"1,014",60,0,60,954,18,17,17,1,384,57,327
CA-505,2386,483,413,0,896,"1,490","1,960",5,315,5,158,0,0,473,5,"1,487",0,426,168,255,423,3,137,51,85,136,1,753,220,0,220,533,721,193,0,193,528,32,27,27,5,82,74,8
