CoC,Count,"Sheltered ES Homeless, 2008","Sheltered TH Homeless, 2008","Sheltered Total Homeless, 2008","Unsheltered Homeless, 2008","Overall Homeless Individuals, 2008","Sheltered ES Homeless Individuals, 2008","Sheltered TH Homeless Individuals, 2008","Sheltered Total Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Overall Homeless People in Families, 2008","Sheltered ES Homeless People in Families, 2008","Sheltered TH Homeless People in Families, 2008","Sheltered Total Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Overall Homeless Family Households, 2008","Sheltered ES Homeless Family Households, 2008","Sheltered TH Homeless Family Households, 2008","Sheltered Total Homeless Family Households, 2008","Unsheltered Homeless Family Households, 2008","Overall Chronically Homeless Individuals, 2008","Sheltered Total Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
AK-500,1023,535,386,921,102,695,357,239,596,99,328,178,147,325,3,84,42,41,83,1,300,239,61
AK-501,623,312,219,531,92,372,200,116,316,56,251,112,103,215,36,88,41,34,75,13,139,116,23
AL-500,2104,465,775,"1,240",864,"1,529",393,440,833,696,575,72,335,407,168,228,31,122,153,75,516,269,247
AL-501,524,156,185,341,183,350,103,77,180,170,174,53,108,161,13,62,18,39,57,5,73,34,39
AL-502,249,27,151,178,71,173,9,119,128,45,76,18,32,50,26,23,3,12,15,8,5,2,3
AL-503,714,338,299,637,77,596,311,208,519,77,118,27,91,118,0,47,12,35,47,0,279,202,77
AL-504,444,108,219,327,117,370,96,166,262,108,74,12,53,65,9,26,4,19,23,3,103,38,65
AL-505,298,183,79,262,36,206,120,61,181,25,92,63,18,81,11,25,16,6,22,3,8,7,1
AL-506,196,33,159,192,4,170,31,135,166,4,26,2,24,26,0,11,1,10,11,0,25,21,4
AL-507,858,224,442,666,192,692,96,438,534,158,166,128,4,132,34,61,46,2,48,13,43,6,37
AR-500,1811,638,538,"1,176",635,"1,621",594,404,998,623,190,44,134,178,12,61,15,43,58,3,491,300,191
AR-501,313,192,81,273,40,235,150,53,203,32,78,42,28,70,8,47,27,16,43,4,34,25,9
AR-502,163,11,48,59,104,87,9,10,19,68,76,2,38,40,36,26,2,15,17,9,15,0,15
AR-504,817,101,273,374,443,626,80,267,347,279,191,21,6,27,164,127,13,4,17,110,327,142,185
AR-505,130,102,18,120,10,35,23,9,32,3,95,79,9,88,7,24,19,3,22,2,25,25,0
AR-506,21,4,14,18,3,21,4,14,18,3,0,0,0,0,0,0,0,0,0,0,1,0,1
AZ-500,2940,510,446,956,"1,984","2,162",262,197,459,"1,703",778,248,249,497,281,280,89,75,164,116,408,76,332
AZ-501,2359,361,890,"1,251","1,108","1,580",221,387,608,972,779,140,503,643,136,286,48,172,220,66,"1,502",784,718
AZ-502,7189,"2,233","2,530","4,763","2,426","4,686","1,299","1,010","2,309","2,377","2,503",934,"1,520","2,454",49,711,267,434,701,10,"1,187",363,824
CA-500,7202,999,"1,102","2,101","5,101","5,945",759,346,"1,105","4,840","1,257",240,756,996,261,366,76,221,297,69,"1,757",223,"1,534"
CA-501,5171,"1,818",582,"2,400","2,771","4,639","1,496",392,"1,888","2,751",532,322,190,512,20,194,113,73,186,8,"1,735",738,997
CA-502,4838,992,"1,350","2,342","2,496","3,026",675,582,"1,257","1,769","1,812",317,768,"1,085",727,653,108,261,369,284,"1,257",318,939
CA-503,2615,682,667,"1,349","1,266","2,173",551,389,940,"1,233",442,131,278,409,33,161,47,102,149,12,680,238,442
CA-504,1314,453,329,782,532,888,278,129,407,481,426,175,200,375,51,149,55,71,126,23,297,79,218
CA-505,4062,522,381,903,"3,159","2,892",225,107,332,"2,560","1,170",297,274,571,599,344,129,69,198,146,"1,225",88,"1,137"
CA-506,1402,210,299,509,893,"1,149",177,85,262,887,253,33,214,247,6,79,12,65,77,2,336,27,309
CA-507,1002,139,463,602,400,846,122,343,465,381,156,17,120,137,19,52,6,37,43,9,172,41,131
CA-508,2789,284,202,486,"2,303","2,408",183,78,261,"2,147",381,101,124,225,156,127,32,42,74,53,"1,161",68,"1,093"
CA-509,1423,187,98,285,"1,138","1,193",134,31,165,"1,028",230,53,67,120,110,152,23,19,42,110,520,136,384
CA-510,1593,415,219,634,959,"1,001",249,33,282,719,592,166,186,352,240,198,56,61,117,81,552,82,470
CA-511,2354,"1,614",437,"2,051",303,"1,532","1,279",13,"1,292",240,822,335,424,759,63,264,94,131,225,39,202,144,58
CA-512,1798,205,499,704,"1,094","1,388",89,221,310,"1,078",410,116,278,394,16,126,34,88,122,4,475,25,450
CA-513,1040,86,103,189,851,468,40,61,101,367,572,46,42,88,484,208,13,12,25,183,88,8,80
CA-514,3507,"1,030",921,"1,951","1,556","1,966",782,503,"1,285",681,"1,541",248,418,666,875,467,109,171,280,187,508,145,363
CA-515,587,62,388,450,137,368,52,192,244,124,219,10,196,206,13,60,3,53,56,4,48,22,26
CA-516,263,143,58,201,62,186,102,29,131,55,77,41,29,70,7,31,16,12,28,3,85,40,45
CA-517,365,126,93,219,146,236,88,26,114,122,129,38,67,105,24,32,11,13,24,8,150,52,98
CA-518,1956,270,187,457,"1,499",818,109,116,225,593,"1,138",161,71,232,906,475,81,32,113,362,524,31,493
CA-519,592,141,181,322,270,441,103,98,201,240,151,38,83,121,30,44,11,25,36,8,202,78,124
CA-520,2455,99,36,135,"2,320","2,072",79,21,100,"1,972",383,20,15,35,348,111,6,4,10,101,728,27,701
CA-521,414,61,167,228,186,292,48,62,110,182,122,13,105,118,4,37,4,32,36,1,93,15,78
CA-522,907,172,150,322,585,366,87,52,139,227,541,85,98,183,358,146,27,30,57,89,219,29,190
CA-523,193,0,0,0,193,131,0,0,0,131,62,0,0,0,62,22,0,0,0,22,78,0,78
CA-524,594,60,423,483,111,247,48,128,176,71,347,12,295,307,40,90,4,76,80,10,67,28,39
CA-525,150,49,26,75,75,128,39,14,53,75,22,10,12,22,0,7,3,4,7,0,12,7,5
CA-526,400,58,21,79,321,252,26,0,26,226,148,32,21,53,95,50,13,6,19,31,90,14,76
CA-600,47862,"5,525","5,917","11,442","36,420","44,185","4,492","3,925","8,417","35,768","3,677","1,033","1,992","3,025",652,"1,165",297,612,909,256,"19,031","1,604","17,427"
CA-601,8455,"1,263","3,154","4,417","4,038","5,995",809,"1,432","2,241","3,754","2,460",454,"1,722","2,176",284,758,94,562,656,102,"1,231",578,653
CA-602,3649,"1,410","1,168","2,578","1,071","2,112",936,360,"1,296",816,"1,537",474,808,"1,282",255,513,171,268,439,74,257,36,221
